model,train_size,train_pool_size,test_size,seed,train_time_s,infer_time_s,n_restarts,n_successful_restarts,n_failed_restarts,selected_restart_idx,lbfgs_stop_reason,lbfgs_iterations,final_train_nll,final_kf,accuracy,brier
"GP+ GPClassifier (Matern, nu=0.5, ARD, LBFGS-defaults)",100,500,9500,1,4.501789093017578,0.0,16,16,0,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,46.0,4.6096978187561035,0.6853845529796723,0.784,0.16620255474868031
"GP+ GPClassifier (PowerExp, p=learned, LBFGS-defaults)",100,500,9500,1,10.049220323562622,0.03939104080200195,16,16,0,11,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,102.0,4.642997741699219,0.6208525347741224,0.7374736842105263,0.20743233499412567
TabPFN Classifier (v2.5 default),100,500,9500,1,0.15839743614196777,2.8702638149261475,1,1,0,0,,,0.1763415479593064,,0.7903157894736842,0.1423643382019156
TabPFN Classifier (v2 compatibility),100,500,9500,1,0.12185883522033691,2.625516891479492,1,1,0,0,,,0.20423637120389945,,0.8048421052631579,0.13208792004916173
"GP+ GPClassifier (RBF, ARD, LBFGS-defaults)",300,500,9500,1,11.194490909576416,0.03138613700866699,16,16,0,13,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,106.0,4.510243892669678,0.9178682563944932,0.8495789473684211,0.11399672606488205
"GP+ GPClassifier (Matern, nu=0.5, ARD, LBFGS-defaults)",300,500,9500,1,5.9094557762146,0.047641754150390625,16,16,0,4,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,30.0,4.427248954772949,0.8665474771379744,0.8882105263157895,0.07963361512552221
"GP+ GPClassifier (PowerExp, p=learned, LBFGS-defaults)",300,500,9500,1,32.59669041633606,0.142167329788208,16,16,0,2,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,93.0,4.470887184143066,0.8610500721647796,0.8757894736842106,0.09052736861700118
TabPFN Classifier (v2.5 default),300,500,9500,1,0.9158663749694824,3.235023260116577,1,1,0,0,,,0.11284835623661775,,0.8628421052631579,0.09653891354814988
TabPFN Classifier (v2 compatibility),300,500,9500,1,0.1270740032196045,2.960710287094116,1,1,0,0,,,0.13467929827037092,,0.8627368421052631,0.0955804052827396
"GP+ GPClassifier (RBF, ARD, LBFGS-defaults)",500,500,9500,1,17.931424140930176,0.04865574836730957,16,16,0,7,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,83.0,4.4350199699401855,0.9315263854681718,0.8687368421052631,0.09973394104649663
"GP+ GPClassifier (Matern, nu=0.5, ARD, LBFGS-defaults)",500,500,9500,1,11.403866529464722,0.06381368637084961,16,16,0,6,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,24.0,4.30966854095459,0.973713352248499,0.9102105263157895,0.06430438648060144
"GP+ GPClassifier (PowerExp, p=learned, LBFGS-defaults)",500,500,9500,1,57.95626378059387,0.25179457664489746,16,16,0,1,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,72.0,4.385231971740723,0.9493815099518075,0.8954736842105263,0.07870024028350862
TabPFN Classifier (v2.5 default),500,500,9500,1,0.20952987670898438,3.4237425327301025,1,1,0,0,,,0.074609848224463,,0.8956842105263157,0.07551835126017899
TabPFN Classifier (v2 compatibility),500,500,9500,1,0.12970232963562012,3.25850772857666,1,1,0,0,,,0.058639532003048445,,0.9021052631578947,0.0691211971136159
"GP+ GPClassifier (RBF, ARD, LBFGS-defaults)",50,500,9500,2,5.757086992263794,0.0,16,16,0,5,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,96.0,4.656325340270996,0.3254216277406851,0.7429473684210526,0.20606168628033442
"GP+ GPClassifier (Matern, nu=0.5, ARD, LBFGS-defaults)",50,500,9500,2,2.294532060623169,0.008038759231567383,16,16,0,9,ABNORMAL: ,61.0,4.72180700302124,0.33425018572541876,0.7876842105263158,0.16021228498723838
"GP+ GPClassifier (PowerExp, p=learned, LBFGS-defaults)",50,500,9500,2,8.650985717773438,0.025936365127563477,16,16,0,4,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,76.0,4.6562652587890625,0.39978699967761755,0.7429473684210526,0.20601566954578648
TabPFN Classifier (v2.5 default),50,500,9500,2,0.16645240783691406,2.832585096359253,1,1,0,0,,,0.25265588852906545,,0.7629473684210526,0.16121151055061442
TabPFN Classifier (v2 compatibility),50,500,9500,2,0.12015104293823242,2.5505638122558594,1,1,0,0,,,0.30099377615031253,,0.7901052631578948,0.14710795875017338
"GP+ GPClassifier (RBF, ARD, LBFGS-defaults)",100,500,9500,2,7.0314719676971436,0.008047342300415039,16,16,0,8,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,120.0,4.633693695068359,0.636721626471275,0.7095789473684211,0.24050375902891927
"GP+ GPClassifier (Matern, nu=0.5, ARD, LBFGS-defaults)",100,500,9500,2,4.077880382537842,0.011118650436401367,16,16,0,3,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,36.0,4.625927925109863,0.642288111856973,0.8388421052631579,0.11890568406705003
"GP+ GPClassifier (PowerExp, p=learned, LBFGS-defaults)",100,500,9500,2,8.210430383682251,0.03968071937561035,16,16,0,14,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,128.0,4.509193420410156,0.7676794896986912,0.7023157894736842,0.24573809877688582
TabPFN Classifier (v2.5 default),100,500,9500,2,0.15926146507263184,3.1982433795928955,1,1,0,0,,,0.1509495485175729,,0.8088421052631579,0.1303056847542811
TabPFN Classifier (v2 compatibility),100,500,9500,2,0.1267871856689453,2.6174445152282715,1,1,0,0,,,0.24869893302387475,,0.8054736842105263,0.13211003621506306
"GP+ GPClassifier (RBF, ARD, LBFGS-defaults)",300,500,9500,2,6.178197860717773,0.025810956954956055,16,16,0,4,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,47.0,4.481480598449707,0.8840028504451442,0.8606315789473684,0.10561236828507155
"GP+ GPClassifier (Matern, nu=0.5, ARD, LBFGS-defaults)",300,500,9500,2,5.9002625942230225,0.025924205780029297,16,16,0,1,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,34.0,4.376407623291016,0.9185324893846241,0.8946315789473684,0.07447508309652966
"GP+ GPClassifier (PowerExp, p=learned, LBFGS-defaults)",300,500,9500,2,26.40549087524414,0.14488863945007324,16,16,0,7,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,57.0,4.461050987243652,0.9144708779175791,0.8827368421052632,0.08714842319045386
TabPFN Classifier (v2.5 default),300,500,9500,2,0.29929208755493164,3.0698459148406982,1,1,0,0,,,0.10847948104483791,,0.8752631578947369,0.08718408379865492
TabPFN Classifier (v2 compatibility),300,500,9500,2,0.12372159957885742,2.924666166305542,1,1,0,0,,,0.10994724584333805,,0.8763157894736842,0.08596127725391431
"GP+ GPClassifier (RBF, ARD, LBFGS-defaults)",500,500,9500,2,15.179584980010986,0.06550359725952148,16,16,0,11,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,59.0,4.51811408996582,0.9435052368352763,0.8763157894736842,0.09299239289834922
"GP+ GPClassifier (Matern, nu=0.5, ARD, LBFGS-defaults)",500,500,9500,2,13.10146164894104,0.06727933883666992,16,16,0,11,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,64.0,4.329024791717529,0.9234031843696267,0.9132631578947369,0.06326897598731285
"GP+ GPClassifier (PowerExp, p=learned, LBFGS-defaults)",500,500,9500,2,75.93634605407715,0.24428224563598633,16,16,0,3,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,88.0,4.400871276855469,0.9556074212011862,0.9028421052631579,0.07152372279341286
TabPFN Classifier (v2.5 default),500,500,9500,2,1.4570848941802979,3.368008852005005,1,1,0,0,,,0.07137155839650412,,0.9004210526315789,0.07158946655263877
TabPFN Classifier (v2 compatibility),500,500,9500,2,0.13615918159484863,3.2297203540802,1,1,0,0,,,0.07397229612079462,,0.9050526315789473,0.06864695266024824
"GP+ GPClassifier (RBF, ARD, LBFGS-defaults)",50,500,9500,3,9.33544111251831,0.0,16,16,0,14,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,194.0,4.424434661865234,0.38736875930857007,0.7077894736842105,0.24305004710716485
"GP+ GPClassifier (Matern, nu=0.5, ARD, LBFGS-defaults)",50,500,9500,3,3.425203800201416,0.008014678955078125,16,16,0,11,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,63.0,4.625852584838867,0.3646899137036239,0.6658947368421053,0.2962351355277717
"GP+ GPClassifier (PowerExp, p=learned, LBFGS-defaults)",50,500,9500,3,9.81343960762024,0.01579141616821289,16,16,0,4,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,126.0,4.424389839172363,0.3888405456332347,0.7072631578947368,0.24309471961426526
TabPFN Classifier (v2.5 default),50,500,9500,3,0.15499472618103027,2.8125193119049072,1,1,0,0,,,0.12070881773275804,,0.7684210526315789,0.1521910991766163
TabPFN Classifier (v2 compatibility),50,500,9500,3,0.1270444393157959,2.5149714946746826,1,1,0,0,,,0.1266573878791342,,0.8071578947368421,0.1334000930759971
"GP+ GPClassifier (RBF, ARD, LBFGS-defaults)",100,500,9500,3,7.022162199020386,0.01598215103149414,16,16,0,7,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,111.0,4.407930374145508,0.7190929387804987,0.7270526315789474,0.225179078036376
"GP+ GPClassifier (Matern, nu=0.5, ARD, LBFGS-defaults)",100,500,9500,3,3.9497575759887695,0.011804342269897461,16,16,0,13,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,37.0,4.511405944824219,0.7454546037763576,0.7770526315789473,0.172815716126999
"GP+ GPClassifier (PowerExp, p=learned, LBFGS-defaults)",100,500,9500,3,9.40283727645874,0.04765439033508301,16,16,0,14,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,86.0,4.422788619995117,0.7485326987741031,0.7978947368421052,0.15419001462803925
TabPFN Classifier (v2.5 default),100,500,9500,3,0.15852618217468262,2.8547966480255127,1,1,0,0,,,0.13391546338260688,,0.8002105263157895,0.1402170562441365
TabPFN Classifier (v2 compatibility),100,500,9500,3,0.12694668769836426,2.6273438930511475,1,1,0,0,,,0.17468954404950002,,0.8217894736842105,0.12888299852036542
"GP+ GPClassifier (RBF, ARD, LBFGS-defaults)",300,500,9500,3,4.414788484573364,0.03148198127746582,16,16,0,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,34.0,4.449213981628418,0.888343109595374,0.872,0.09779559254907187
"GP+ GPClassifier (Matern, nu=0.5, ARD, LBFGS-defaults)",300,500,9500,3,7.259588241577148,0.03583860397338867,16,16,0,7,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,35.0,4.326903343200684,0.8823316790130773,0.8906315789473684,0.07717391633680812
"GP+ GPClassifier (PowerExp, p=learned, LBFGS-defaults)",300,500,9500,3,29.134013652801514,0.13587570190429688,16,16,0,14,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,84.0,4.373814582824707,0.9108652477518819,0.8733684210526316,0.09067499274726339
TabPFN Classifier (v2.5 default),300,500,9500,3,0.15604782104492188,3.381528615951538,1,1,0,0,,,0.06821400122402006,,0.8643157894736843,0.09459719909444889
TabPFN Classifier (v2 compatibility),300,500,9500,3,0.125870943069458,2.990933418273926,1,1,0,0,,,0.07401768769494903,,0.8642105263157894,0.0922879294658945
"GP+ GPClassifier (RBF, ARD, LBFGS-defaults)",500,500,9500,3,15.491689443588257,0.05347704887390137,16,16,0,9,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,66.0,4.385436534881592,0.9508989871309073,0.8777894736842106,0.09225712344578496
