model,train_size,train_pool_size,test_size,seed,train_time_s,infer_time_s,lbfgs_stop_reason,lbfgs_iterations,final_train_nll,accuracy,brier
"GP+ GPClassifier (RBF, ARD, LBFGS-defaults)",50,500,9500,1,0.3874952793121338,0.01000356674194336,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,115.0,4.692968368530273,0.6130526315789474,0.3287509234658868
"GP+ GPClassifier (Matern, nu=0.5, ARD, LBFGS-defaults)",50,500,9500,1,0.15201687812805176,0.012000083923339844,ABNORMAL: ,16.0,5.137130260467529,0.638,0.281032454975123
"GPyTorch Milios Dirichlet (RBF, ARD, LBFGS-defaults)",50,500,9500,1,0.27303361892700195,0.007004976272583008,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,96.0,4.696187973022461,0.6294736842105263,0.30136619946303417
"GP+ GPClassifier (PowerExp, p=learned, LBFGS-defaults)",50,500,9500,1,0.33313417434692383,0.043055057525634766,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,63.0,4.692960739135742,0.6130526315789474,0.3288357656968254
TabPFN Classifier (v2.5 default),50,500,9500,1,0.14551234245300293,2.9555885791778564,,,0.35613670353078647,0.7469473684210526,0.17663202080300977
TabPFN Classifier (v2 compatibility),50,500,9500,1,0.11662507057189941,2.5930535793304443,,,0.3849093158858627,0.7713684210526316,0.16457517428001436
"GP+ GPClassifier (RBF, ARD, LBFGS-defaults)",100,500,9500,1,0.5685508251190186,0.01700448989868164,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,155.0,4.640162467956543,0.7253684210526316,0.22033109162720796
"GP+ GPClassifier (Matern, nu=0.5, ARD, LBFGS-defaults)",100,500,9500,1,0.5879373550415039,0.021450519561767578,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,91.0,4.609936714172363,0.7844210526315789,0.16625087986611917
"GPyTorch Milios Dirichlet (RBF, ARD, LBFGS-defaults)",100,500,9500,1,0.5316970348358154,0.013010740280151367,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,170.0,4.545741081237793,0.7849473684210526,0.16118117899505371
"GP+ GPClassifier (PowerExp, p=learned, LBFGS-defaults)",100,500,9500,1,0.5755465030670166,0.07536816596984863,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,92.0,4.642999649047852,0.7374736842105263,0.2072815744224942
TabPFN Classifier (v2.5 default),100,500,9500,1,0.16103506088256836,2.9669387340545654,,,0.16662640353965855,0.7876842105263158,0.14299610295681253
TabPFN Classifier (v2 compatibility),100,500,9500,1,0.13895726203918457,2.660524606704712,,,0.19830562998316675,0.8010526315789473,0.1374303024198584
"GP+ GPClassifier (RBF, ARD, LBFGS-defaults)",300,500,9500,1,0.5945508480072021,0.05199146270751953,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,89.0,4.510265350341797,0.8494736842105263,0.11401983159407121
"GP+ GPClassifier (Matern, nu=0.5, ARD, LBFGS-defaults)",300,500,9500,1,0.34004759788513184,0.0700216293334961,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,30.0,4.429686546325684,0.8882105263157895,0.0794035581076759
"GPyTorch Milios Dirichlet (RBF, ARD, LBFGS-defaults)",300,500,9500,1,0.4308023452758789,0.04577350616455078,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,57.0,4.369489669799805,0.8827368421052632,0.08310337658158931
"GP+ GPClassifier (PowerExp, p=learned, LBFGS-defaults)",300,500,9500,1,1.8641903400421143,0.23827075958251953,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,73.0,4.470889091491699,0.8758947368421053,0.09054045345012188
TabPFN Classifier (v2.5 default),300,500,9500,1,0.25659823417663574,3.16573429107666,,,0.11337344178911231,0.8598947368421053,0.09682245067993883
TabPFN Classifier (v2 compatibility),300,500,9500,1,0.12172460556030273,2.9978439807891846,,,0.12140168213190662,0.8654736842105263,0.09430170557926942
"GP+ GPClassifier (RBF, ARD, LBFGS-defaults)",500,500,9500,1,0.9789028167724609,0.10155582427978516,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,77.0,4.435022354125977,0.8688421052631579,0.09965629493884992
"GP+ GPClassifier (Matern, nu=0.5, ARD, LBFGS-defaults)",500,500,9500,1,0.586284875869751,0.11660337448120117,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,29.0,4.309868335723877,0.91,0.06428980293584176
"GPyTorch Milios Dirichlet (RBF, ARD, LBFGS-defaults)",500,500,9500,1,0.869495153427124,0.08204913139343262,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,70.0,4.243237495422363,0.9033684210526316,0.06826989670906168
"GP+ GPClassifier (PowerExp, p=learned, LBFGS-defaults)",500,500,9500,1,2.7994987964630127,0.6123650074005127,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,46.0,4.385272979736328,0.8954736842105263,0.07877092243357911
TabPFN Classifier (v2.5 default),500,500,9500,1,0.16053104400634766,3.451091766357422,,,0.0758061765193389,0.8943157894736842,0.07522120685302254
TabPFN Classifier (v2 compatibility),500,500,9500,1,0.12665057182312012,3.2641232013702393,,,0.05012184794372242,0.9014736842105263,0.06858321676798139
"GP+ GPClassifier (RBF, ARD, LBFGS-defaults)",50,500,9500,2,0.25504565238952637,0.012005090713500977,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,73.0,4.659670829772949,0.7434736842105263,0.20638113979450073
"GP+ GPClassifier (Matern, nu=0.5, ARD, LBFGS-defaults)",50,500,9500,2,0.16213202476501465,0.011517524719238281,ABNORMAL: ,16.0,5.137382984161377,0.638,0.2813842706521743
"GPyTorch Milios Dirichlet (RBF, ARD, LBFGS-defaults)",50,500,9500,2,0.3736240863800049,0.006005048751831055,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,134.0,4.624327659606934,0.7614736842105263,0.18554166875377556
"GP+ GPClassifier (PowerExp, p=learned, LBFGS-defaults)",50,500,9500,2,0.3693423271179199,0.0405271053314209,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,72.0,4.656294822692871,0.7430526315789474,0.2060461699547887
TabPFN Classifier (v2.5 default),50,500,9500,2,0.16455388069152832,2.9575352668762207,,,0.258930642769775,0.7569473684210526,0.16433963980973051
TabPFN Classifier (v2 compatibility),50,500,9500,2,0.11547231674194336,2.6307811737060547,,,0.3163132421961013,0.7621052631578947,0.16480049291393212
"GP+ GPClassifier (RBF, ARD, LBFGS-defaults)",100,500,9500,2,0.39098167419433594,0.017023324966430664,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,98.0,4.633716583251953,0.7094736842105264,0.24016459248156743
"GP+ GPClassifier (Matern, nu=0.5, ARD, LBFGS-defaults)",100,500,9500,2,0.3074986934661865,0.02299952507019043,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,50.0,4.627328872680664,0.8394736842105263,0.11866300618966096
"GPyTorch Milios Dirichlet (RBF, ARD, LBFGS-defaults)",100,500,9500,2,0.4836852550506592,0.012012243270874023,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,132.0,4.546672821044922,0.8314736842105264,0.12444002991113592
"GP+ GPClassifier (PowerExp, p=learned, LBFGS-defaults)",100,500,9500,2,0.4355428218841553,0.0789804458618164,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,70.0,4.612009048461914,0.7353684210526316,0.21025152471047773
TabPFN Classifier (v2.5 default),100,500,9500,2,0.1393733024597168,2.991969347000122,,,0.1494935634729162,0.8095789473684211,0.12983901697522537
TabPFN Classifier (v2 compatibility),100,500,9500,2,0.11647486686706543,2.7792367935180664,,,0.25806555720454494,0.8031578947368421,0.13517669870622914
"GP+ GPClassifier (RBF, ARD, LBFGS-defaults)",300,500,9500,2,0.3350832462310791,0.04952430725097656,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,48.0,4.481483459472656,0.8606315789473684,0.10561869233153266
"GP+ GPClassifier (Matern, nu=0.5, ARD, LBFGS-defaults)",300,500,9500,2,0.3120605945587158,0.07100224494934082,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,37.0,4.378976821899414,0.8943157894736842,0.0747165968121719
"GPyTorch Milios Dirichlet (RBF, ARD, LBFGS-defaults)",300,500,9500,2,0.39597606658935547,0.037017822265625,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,72.0,4.316648960113525,0.8949473684210526,0.07325730727815881
"GP+ GPClassifier (PowerExp, p=learned, LBFGS-defaults)",300,500,9500,2,1.391530990600586,0.22622227668762207,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,57.0,4.461055755615234,0.8826315789473684,0.08711276660120056
TabPFN Classifier (v2.5 default),300,500,9500,2,0.23062562942504883,3.161008596420288,,,0.10759614138123735,0.8741052631578947,0.08697205592962605
TabPFN Classifier (v2 compatibility),300,500,9500,2,0.12352895736694336,2.9837443828582764,,,0.10291014177134136,0.8806315789473684,0.08209332891984193
"GP+ GPClassifier (RBF, ARD, LBFGS-defaults)",500,500,9500,2,0.8408703804016113,0.08605384826660156,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,62.0,4.518115520477295,0.876421052631579,0.09300496353275227
"GP+ GPClassifier (Matern, nu=0.5, ARD, LBFGS-defaults)",500,500,9500,2,0.9075629711151123,0.12305045127868652,ABNORMAL: ,31.0,4.329207420349121,0.9136842105263158,0.06314447202284514
"GPyTorch Milios Dirichlet (RBF, ARD, LBFGS-defaults)",500,500,9500,2,0.8679156303405762,0.08152604103088379,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,79.0,4.260348320007324,0.9097894736842105,0.06345554844896653
"GP+ GPClassifier (PowerExp, p=learned, LBFGS-defaults)",500,500,9500,2,4.538463115692139,0.6014208793640137,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,63.0,4.400905609130859,0.9029473684210526,0.07151871111968491
TabPFN Classifier (v2.5 default),500,500,9500,2,0.15311455726623535,3.4464097023010254,,,0.0726082273416102,0.8997894736842105,0.07206325802141898
TabPFN Classifier (v2 compatibility),500,500,9500,2,0.1402120590209961,3.3038549423217773,,,0.0711146455149585,0.909578947368421,0.06653916807759491
"GP+ GPClassifier (RBF, ARD, LBFGS-defaults)",50,500,9500,3,0.5600171089172363,0.01100015640258789,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,168.0,4.424468040466309,0.7077894736842105,0.24312109030466283
"GP+ GPClassifier (Matern, nu=0.5, ARD, LBFGS-defaults)",50,500,9500,3,0.11947751045227051,0.012540817260742188,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,18.0,5.136987686157227,0.638,0.2811282086310055
"GPyTorch Milios Dirichlet (RBF, ARD, LBFGS-defaults)",50,500,9500,3,0.7221975326538086,0.008002996444702148,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,279.0,4.359134674072266,0.7062105263157895,0.23889814488350936
"GP+ GPClassifier (PowerExp, p=learned, LBFGS-defaults)",50,500,9500,3,0.557204008102417,0.040032148361206055,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,116.0,4.424447059631348,0.7073684210526315,0.24308298648025112
TabPFN Classifier (v2.5 default),50,500,9500,3,0.1420760154724121,2.9833343029022217,,,0.11547408782328013,0.7694736842105263,0.1517568929473332
TabPFN Classifier (v2 compatibility),50,500,9500,3,0.12040996551513672,2.6798949241638184,,,0.14687916370998141,0.7752631578947369,0.14873444433262678
"GP+ GPClassifier (RBF, ARD, LBFGS-defaults)",100,500,9500,3,0.2609975337982178,0.0170135498046875,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,66.0,4.408049583435059,0.7272631578947368,0.22511043981534884
"GP+ GPClassifier (Matern, nu=0.5, ARD, LBFGS-defaults)",100,500,9500,3,0.15958380699157715,0.027516603469848633,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,27.0,4.5219573974609375,0.762421052631579,0.18699974750025802
"GPyTorch Milios Dirichlet (RBF, ARD, LBFGS-defaults)",100,500,9500,3,0.2707979679107666,0.015533447265625,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,80.0,4.448296546936035,0.8072631578947368,0.14604068199145295
"GP+ GPClassifier (PowerExp, p=learned, LBFGS-defaults)",100,500,9500,3,0.6400339603424072,0.0908815860748291,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,106.0,4.42280387878418,0.7978947368421052,0.1541538429578291
TabPFN Classifier (v2.5 default),100,500,9500,3,0.14052343368530273,3.0308141708374023,,,0.1329841191465474,0.7987368421052632,0.1405745627179745
TabPFN Classifier (v2 compatibility),100,500,9500,3,0.12155508995056152,2.706347703933716,,,0.2098280780657036,0.7976842105263158,0.1423130244481947
"GP+ GPClassifier (RBF, ARD, LBFGS-defaults)",300,500,9500,3,0.26810169219970703,0.0529932975769043,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,32.0,4.449214458465576,0.8721052631578947,0.09779484354159547
"GP+ GPClassifier (Matern, nu=0.5, ARD, LBFGS-defaults)",300,500,9500,3,0.3073427677154541,0.06852865219116211,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,37.0,4.328871726989746,0.8903157894736842,0.07707312282379698
"GPyTorch Milios Dirichlet (RBF, ARD, LBFGS-defaults)",300,500,9500,3,0.8494815826416016,0.04309511184692383,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,133.0,4.266889572143555,0.8924210526315789,0.07651564471155403
"GP+ GPClassifier (PowerExp, p=learned, LBFGS-defaults)",300,500,9500,3,1.7650551795959473,0.2380695343017578,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,75.0,4.373819351196289,0.8733684210526316,0.09069096665642123
TabPFN Classifier (v2.5 default),300,500,9500,3,0.2165393829345703,3.14517879486084,,,0.06805984950554296,0.866,0.09410568009692713
TabPFN Classifier (v2 compatibility),300,500,9500,3,0.12959647178649902,2.9660022258758545,,,0.0754720310640515,0.8690526315789474,0.0921591629716588
"GP+ GPClassifier (RBF, ARD, LBFGS-defaults)",500,500,9500,3,0.8548629283905029,0.10153698921203613,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,64.0,4.385437965393066,0.878,0.09223084037064744
"GP+ GPClassifier (Matern, nu=0.5, ARD, LBFGS-defaults)",500,500,9500,3,0.5372829437255859,0.12047791481018066,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,31.0,4.241179466247559,0.9034736842105263,0.06765127434602505
"GPyTorch Milios Dirichlet (RBF, ARD, LBFGS-defaults)",500,500,9500,3,0.810269832611084,0.07739734649658203,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,74.0,4.206934928894043,0.9085263157894737,0.06453052933604557
"GP+ GPClassifier (PowerExp, p=learned, LBFGS-defaults)",500,500,9500,3,4.073417663574219,0.5795774459838867,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,60.0,4.283882141113281,0.890421052631579,0.08041313099106727
TabPFN Classifier (v2.5 default),500,500,9500,3,0.15552258491516113,3.4700918197631836,,,0.03406916654838482,0.8857894736842106,0.07955549183353548
TabPFN Classifier (v2 compatibility),500,500,9500,3,0.12655901908874512,3.250528335571289,,,0.025122275594491362,0.8929473684210526,0.07397447481248888
"GP+ GPClassifier (RBF, ARD, LBFGS-defaults)",50,500,9500,4,0.3280916213989258,0.012001276016235352,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,98.0,4.473586082458496,0.7805263157894737,0.16884897348746922
