outputscale,omega,lml
-5.000000000000000000e+00,-6.000000000000000000e+00,-4.999553302923596191e+11
-4.955000000000000071e+00,-6.000000000000000000e+00,-4.999539062524048462e+11
-4.910000000000000142e+00,-6.000000000000000000e+00,-4.999523281710186157e+11
-4.865000000000000213e+00,-6.000000000000000000e+00,-4.999505775213481445e+11
-4.820000000000000284e+00,-6.000000000000000000e+00,-4.999486381308051758e+11
-4.775000000000000355e+00,-6.000000000000000000e+00,-4.999464862074752197e+11
-4.730000000000000426e+00,-6.000000000000000000e+00,-4.999441015834490356e+11
-4.684999999999999609e+00,-6.000000000000000000e+00,-4.999414559196930542e+11
-4.639999999999999680e+00,-6.000000000000000000e+00,-4.999385236238636475e+11
-4.594999999999999751e+00,-6.000000000000000000e+00,-4.999352706581504517e+11
-4.549999999999999822e+00,-6.000000000000000000e+00,-4.999316653336241455e+11
-4.504999999999999893e+00,-6.000000000000000000e+00,-4.999276624287418823e+11
-4.459999999999999964e+00,-6.000000000000000000e+00,-4.999232274038559570e+11
-4.415000000000000036e+00,-6.000000000000000000e+00,-4.999183064858588257e+11
-4.370000000000000107e+00,-6.000000000000000000e+00,-4.999128558686787720e+11
-4.325000000000000178e+00,-6.000000000000000000e+00,-4.999068062925959473e+11
-4.280000000000000249e+00,-6.000000000000000000e+00,-4.999000973260814819e+11
-4.235000000000000320e+00,-6.000000000000000000e+00,-4.998926602436917114e+11
-4.190000000000000391e+00,-6.000000000000000000e+00,-4.998844116154397583e+11
-4.144999999999999574e+00,-6.000000000000000000e+00,-4.998752657458970947e+11
-4.099999999999999645e+00,-6.000000000000000000e+00,-4.998651289883326416e+11
-4.054999999999999716e+00,-6.000000000000000000e+00,-4.998538802369229126e+11
-4.009999999999999787e+00,-6.000000000000000000e+00,-4.998414112335014648e+11
-3.964999999999999858e+00,-6.000000000000000000e+00,-4.998275909648694458e+11
-3.919999999999999929e+00,-6.000000000000000000e+00,-4.998122567834332275e+11
-3.875000000000000000e+00,-6.000000000000000000e+00,-4.997952739038726807e+11
-3.830000000000000071e+00,-6.000000000000000000e+00,-4.997764303243775635e+11
-3.785000000000000142e+00,-6.000000000000000000e+00,-4.997555386149191284e+11
-3.740000000000000213e+00,-6.000000000000000000e+00,-4.997323974748030396e+11
-3.695000000000000284e+00,-6.000000000000000000e+00,-4.997067330209647827e+11
-3.650000000000000355e+00,-6.000000000000000000e+00,-4.996782970035800171e+11
-3.604999999999999982e+00,-6.000000000000000000e+00,-4.996467912079818726e+11
-3.560000000000000053e+00,-6.000000000000000000e+00,-4.996118584868835449e+11
-3.515000000000000124e+00,-6.000000000000000000e+00,-4.995731715942461548e+11
-3.469999999999999751e+00,-6.000000000000000000e+00,-4.995303072488796997e+11
-3.424999999999999822e+00,-6.000000000000000000e+00,-4.994828212434133301e+11
-3.379999999999999893e+00,-6.000000000000000000e+00,-4.994302105549512329e+11
-3.334999999999999964e+00,-6.000000000000000000e+00,-4.993719845926151733e+11
-3.290000000000000036e+00,-6.000000000000000000e+00,-4.993074647740844727e+11
-3.245000000000000107e+00,-6.000000000000000000e+00,-4.992361115100958862e+11
-3.200000000000000178e+00,-6.000000000000000000e+00,-4.991570902490872803e+11
-3.155000000000000249e+00,-6.000000000000000000e+00,-4.990696437785703735e+11
-3.110000000000000320e+00,-6.000000000000000000e+00,-4.989729306718342896e+11
-3.065000000000000391e+00,-6.000000000000000000e+00,-4.988660178077489014e+11
-3.020000000000000018e+00,-6.000000000000000000e+00,-4.987477923696726074e+11
-2.975000000000000089e+00,-6.000000000000000000e+00,-4.986171273112360229e+11
-2.930000000000000160e+00,-6.000000000000000000e+00,-4.984727808755649414e+11
-2.885000000000000231e+00,-6.000000000000000000e+00,-4.983133039674545898e+11
-2.839999999999999858e+00,-6.000000000000000000e+00,-4.981373130342210083e+11
-2.794999999999999929e+00,-6.000000000000000000e+00,-4.979432547324556274e+11
-2.750000000000000000e+00,-6.000000000000000000e+00,-4.977292644202653198e+11
-2.705000000000000071e+00,-6.000000000000000000e+00,-4.974933926926299438e+11
-2.660000000000000142e+00,-6.000000000000000000e+00,-4.972338094803458862e+11
-2.615000000000000213e+00,-6.000000000000000000e+00,-4.969481603898111572e+11
-2.570000000000000284e+00,-6.000000000000000000e+00,-4.966341424755119019e+11
-2.524999999999999911e+00,-6.000000000000000000e+00,-4.962894612838417358e+11
-2.479999999999999982e+00,-6.000000000000000000e+00,-4.959109795270247803e+11
-2.435000000000000053e+00,-6.000000000000000000e+00,-4.954963527731560059e+11
-2.390000000000000124e+00,-6.000000000000000000e+00,-4.950422986144887695e+11
-2.345000000000000195e+00,-6.000000000000000000e+00,-4.945461246128616333e+11
-2.300000000000000266e+00,-6.000000000000000000e+00,-4.940048498573195801e+11
