model,train_size,train_pool_size,test_size,seed,train_time_s,infer_time_s,n_restarts,n_successful_restarts,n_failed_restarts,selected_restart_idx,lbfgs_stop_reason,lbfgs_iterations,final_train_nll,final_kf,accuracy,brier
"GP+ GPClassifier (RBF, ARD, LBFGS-defaults)",50,500,9500,0,6.926527261734009,0.008128643035888672,16,16,0,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,89.0,4.767233848571777,0.3263288276221853,0.7327368421052631,0.21725904547748387
"GP+ GPClassifier (Matern, nu=0.5, ARD, LBFGS-defaults)",50,500,9500,0,5.372521162033081,0.006286144256591797,16,16,0,9,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,51.0,4.856758117675781,0.3623450020593292,0.6258947368421053,0.3208155860912198
"GP+ GPClassifier (PowerExp, p=learned, LBFGS-defaults)",50,500,9500,0,9.31987977027893,0.037104129791259766,16,16,0,12,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,82.0,4.731197357177734,0.3224612396995105,0.623578947368421,0.31989200438447324
TabPFN Classifier (v2.5 default),50,500,9500,0,1.5010454654693604,2.947244882583618,1,1,0,0,,,0.2838041060615776,,0.6617894736842105,0.20144211637360795
TabPFN Classifier (v2 compatibility),50,500,9500,0,0.11208844184875488,2.5544416904449463,1,1,0,0,,,0.33045482775941587,,0.7933684210526316,0.1518748601953363
"GP+ GPClassifier (RBF, ARD, LBFGS-defaults)",100,500,9500,0,8.692602157592773,0.017876386642456055,16,16,0,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,94.0,4.788439750671387,0.638950910983874,0.8111578947368421,0.14878847422780966
"GP+ GPClassifier (Matern, nu=0.5, ARD, LBFGS-defaults)",100,500,9500,0,6.265886068344116,0.016767263412475586,16,16,0,1,ABNORMAL: ,73.0,4.732010364532471,0.6498739423086288,0.8466315789473684,0.11544929487981885
"GP+ GPClassifier (PowerExp, p=learned, LBFGS-defaults)",100,500,9500,0,10.784568071365356,0.05732917785644531,16,16,0,5,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,116.0,4.721407890319824,0.6366490135539085,0.8347368421052631,0.12656101653205598
TabPFN Classifier (v2.5 default),100,500,9500,0,0.1567380428314209,2.945876359939575,1,1,0,0,,,0.1324942840106911,,0.816,0.1279820244700654
TabPFN Classifier (v2 compatibility),100,500,9500,0,0.13916492462158203,2.6233129501342773,1,1,0,0,,,0.21257195040705404,,0.8191578947368421,0.12432366461277951
"GP+ GPClassifier (RBF, ARD, LBFGS-defaults)",300,500,9500,0,9.794650316238403,0.032672882080078125,16,16,0,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,68.0,4.639566421508789,0.8554527807421151,0.8510526315789474,0.11296084668104552
"GP+ GPClassifier (Matern, nu=0.5, ARD, LBFGS-defaults)",300,500,9500,0,6.943074941635132,0.03634166717529297,16,16,0,14,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,36.0,4.533867835998535,0.814411223931296,0.9016842105263158,0.0700183844584268
"GP+ GPClassifier (PowerExp, p=learned, LBFGS-defaults)",300,500,9500,0,30.183772087097168,0.15096473693847656,16,16,0,6,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,69.0,4.571098327636719,0.8425281081432356,0.8838947368421053,0.08401814167832507
TabPFN Classifier (v2.5 default),300,500,9500,0,0.154496431350708,3.147127151489258,1,1,0,0,,,0.10291975165641569,,0.8648421052631579,0.09361386817380148
TabPFN Classifier (v2 compatibility),300,500,9500,0,0.11824584007263184,2.9483234882354736,1,1,0,0,,,0.13657644910611097,,0.8776842105263158,0.08633650634842908
"GP+ GPClassifier (RBF, ARD, LBFGS-defaults)",500,500,9500,0,9.748080015182495,0.047545671463012695,16,16,0,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,32.0,4.477105140686035,0.9063429382267506,0.8821052631578947,0.08905750223184579
"GP+ GPClassifier (Matern, nu=0.5, ARD, LBFGS-defaults)",500,500,9500,0,14.988756656646729,0.07476949691772461,16,16,0,13,ABNORMAL: ,38.0,4.338336944580078,0.9058673775693156,0.9172631578947369,0.05863867884620761
"GP+ GPClassifier (PowerExp, p=learned, LBFGS-defaults)",500,500,9500,0,83.76230931282043,0.2665877342224121,16,16,0,2,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,71.0,4.40361213684082,0.9099781038361028,0.9024210526315789,0.07003132944799265
TabPFN Classifier (v2.5 default),500,500,9500,0,0.21837782859802246,3.4727821350097656,1,1,0,0,,,0.08183319233708901,,0.8906315789473684,0.07642736392860158
TabPFN Classifier (v2 compatibility),500,500,9500,0,0.11214780807495117,3.25071382522583,1,1,0,0,,,0.0750688830609265,,0.9018947368421053,0.0709885013055756
"GP+ GPClassifier (RBF, ARD, LBFGS-defaults)",50,500,9500,1,10.43022894859314,0.008994102478027344,16,16,0,10,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,100.0,4.676867485046387,0.3170375507077575,0.6687368421052632,0.2598040258146973
"GP+ GPClassifier (Matern, nu=0.5, ARD, LBFGS-defaults)",50,500,9500,1,2.625545024871826,0.008959531784057617,16,16,0,10,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,38.0,4.887118339538574,0.35906208013626817,0.6428421052631579,0.2770754246982479
"GP+ GPClassifier (PowerExp, p=learned, LBFGS-defaults)",50,500,9500,1,8.979350805282593,0.022854328155517578,16,16,0,13,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,110.0,4.691164016723633,0.3260288699163758,0.62,0.32184229613992704
TabPFN Classifier (v2.5 default),50,500,9500,1,0.128875732421875,2.9188897609710693,1,1,0,0,,,0.34918775204928854,,0.7431578947368421,0.17750738978051503
TabPFN Classifier (v2 compatibility),50,500,9500,1,0.10806822776794434,2.5556066036224365,1,1,0,0,,,0.37355604021136907,,0.7876842105263158,0.15361015019471086
