model,train_size,train_pool_size,test_size,seed,train_time_s,infer_time_s,n_restarts,n_successful_restarts,n_failed_restarts,selected_restart_idx,lbfgs_stop_reason,lbfgs_iterations,final_train_nll,final_kf,accuracy,brier
"GP+ GPClassifier (RBF, ARD, LBFGS-defaults)",100,500,9500,1,7.590013265609741,0.014842510223388672,16,12,4,10,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,152.0,4.6401519775390625,0.6164316623598559,0.7254736842105263,0.22050708882586245
"GP+ GPClassifier (Matern, nu=0.5, ARD, LBFGS-defaults)",100,500,9500,1,5.766021251678467,0.016161203384399414,16,16,0,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,46.0,4.6096978187561035,0.5394605012102858,0.784,0.16620255474868031
"GP+ GPClassifier (PowerExp, p=learned, LBFGS-defaults)",100,500,9500,1,12.234175682067871,0.05704951286315918,16,16,0,11,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,102.0,4.642997741699219,0.6271894420637023,0.7374736842105263,0.20743233499412567
TabPFN Classifier (v2.5 default),100,500,9500,1,0.7712869644165039,2.941678762435913,1,1,0,0,,,0.1763415479593064,,0.7903157894736842,0.1423643382019156
TabPFN Classifier (v2 compatibility),100,500,9500,1,0.11432623863220215,2.591763973236084,1,1,0,0,,,0.20423637120389945,,0.8048421052631579,0.13208792004916173
"GP+ GPClassifier (RBF, ARD, LBFGS-defaults)",300,500,9500,1,14.177289009094238,0.02870631217956543,16,16,0,13,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,106.0,4.510243892669678,0.8470620050983562,0.8495789473684211,0.11399672606488205
"GP+ GPClassifier (Matern, nu=0.5, ARD, LBFGS-defaults)",300,500,9500,1,7.092707395553589,0.04064655303955078,16,16,0,4,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,30.0,4.427248954772949,0.8293153314830661,0.8882105263157895,0.07963361512552221
"GP+ GPClassifier (PowerExp, p=learned, LBFGS-defaults)",300,500,9500,1,35.900761127471924,0.15293121337890625,16,16,0,2,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,93.0,4.470887184143066,0.8448982636547873,0.8757894736842106,0.09052736861700118
TabPFN Classifier (v2.5 default),300,500,9500,1,0.15950322151184082,3.140345335006714,1,1,0,0,,,0.11284835623661775,,0.8628421052631579,0.09653891354814988
TabPFN Classifier (v2 compatibility),300,500,9500,1,0.119354248046875,2.9833948612213135,1,1,0,0,,,0.13467929827037092,,0.8627368421052631,0.0955804052827396
"GP+ GPClassifier (RBF, ARD, LBFGS-defaults)",500,500,9500,1,20.779316663742065,0.061057090759277344,16,16,0,7,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,83.0,4.4350199699401855,0.9130042887319327,0.8687368421052631,0.09973394104649663
"GP+ GPClassifier (Matern, nu=0.5, ARD, LBFGS-defaults)",500,500,9500,1,11.943719387054443,0.08249568939208984,16,16,0,6,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,24.0,4.30966854095459,0.9061049585413619,0.9102105263157895,0.06430438648060144
"GP+ GPClassifier (PowerExp, p=learned, LBFGS-defaults)",500,500,9500,1,62.6885986328125,0.2773911952972412,16,16,0,1,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,72.0,4.385231971740723,0.9104114458188803,0.8954736842105263,0.07870024028350862
TabPFN Classifier (v2.5 default),500,500,9500,1,0.17994332313537598,3.464164972305298,1,1,0,0,,,0.074609848224463,,0.8956842105263157,0.07551835126017899
TabPFN Classifier (v2 compatibility),500,500,9500,1,0.13168835639953613,3.301914930343628,1,1,0,0,,,0.058639532003048445,,0.9021052631578947,0.0691211971136159
"GP+ GPClassifier (RBF, ARD, LBFGS-defaults)",50,500,9500,2,7.542312145233154,0.008069038391113281,16,16,0,5,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,96.0,4.656325340270996,0.33329623817864584,0.7429473684210526,0.20606168628033442
"GP+ GPClassifier (Matern, nu=0.5, ARD, LBFGS-defaults)",50,500,9500,2,2.831799030303955,0.011494636535644531,16,16,0,9,ABNORMAL: ,61.0,4.72180700302124,0.2117547828662704,0.7876842105263158,0.16021228498723838
"GP+ GPClassifier (PowerExp, p=learned, LBFGS-defaults)",50,500,9500,2,10.363685846328735,0.032912492752075195,16,16,0,4,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,76.0,4.6562652587890625,0.32277630595614504,0.7429473684210526,0.20601566954578648
TabPFN Classifier (v2.5 default),50,500,9500,2,0.13412237167358398,2.9296681880950928,1,1,0,0,,,0.25265588852906545,,0.7629473684210526,0.16121151055061442
TabPFN Classifier (v2 compatibility),50,500,9500,2,0.1301591396331787,2.651278018951416,1,1,0,0,,,0.30099377615031253,,0.7901052631578948,0.14710795875017338
"GP+ GPClassifier (RBF, ARD, LBFGS-defaults)",100,500,9500,2,9.155569791793823,0.008642196655273438,16,16,0,8,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,120.0,4.633693695068359,0.6424896982722013,0.7095789473684211,0.24050375902891927
"GP+ GPClassifier (Matern, nu=0.5, ARD, LBFGS-defaults)",100,500,9500,2,5.320123672485352,0.013566017150878906,16,16,0,3,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,36.0,4.625927925109863,0.6247549092047064,0.8388421052631579,0.11890568406705003
"GP+ GPClassifier (PowerExp, p=learned, LBFGS-defaults)",100,500,9500,2,10.554416179656982,0.04827451705932617,16,16,0,14,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,128.0,4.509193420410156,0.6308051934382546,0.7023157894736842,0.24573809877688582
TabPFN Classifier (v2.5 default),100,500,9500,2,0.1306931972503662,2.9983484745025635,1,1,0,0,,,0.1509495485175729,,0.8088421052631579,0.1303056847542811
TabPFN Classifier (v2 compatibility),100,500,9500,2,0.11573052406311035,2.6697778701782227,1,1,0,0,,,0.24869893302387475,,0.8054736842105263,0.13211003621506306
"GP+ GPClassifier (RBF, ARD, LBFGS-defaults)",300,500,9500,2,7.6063337326049805,0.027779340744018555,16,16,0,4,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,47.0,4.481480598449707,0.8317472213934537,0.8606315789473684,0.10561236828507155
"GP+ GPClassifier (Matern, nu=0.5, ARD, LBFGS-defaults)",300,500,9500,2,7.111797571182251,0.03832650184631348,16,16,0,1,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,34.0,4.376407623291016,0.8260423680368632,0.8946315789473684,0.07447508309652966
"GP+ GPClassifier (PowerExp, p=learned, LBFGS-defaults)",300,500,9500,2,29.378230571746826,0.1605381965637207,16,16,0,7,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,57.0,4.461050987243652,0.8459998233382773,0.8827368421052632,0.08714842319045386
TabPFN Classifier (v2.5 default),300,500,9500,2,0.15591716766357422,3.1282198429107666,1,1,0,0,,,0.10847948104483791,,0.8752631578947369,0.08718408379865492
TabPFN Classifier (v2 compatibility),300,500,9500,2,0.13068890571594238,2.8995330333709717,1,1,0,0,,,0.10994724584333805,,0.8763157894736842,0.08596127725391431
"GP+ GPClassifier (RBF, ARD, LBFGS-defaults)",500,500,9500,2,16.03506302833557,0.05777168273925781,16,16,0,11,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,59.0,4.51811408996582,0.9070369928240676,0.8763157894736842,0.09299239289834922
"GP+ GPClassifier (Matern, nu=0.5, ARD, LBFGS-defaults)",500,500,9500,2,14.585157871246338,0.0674295425415039,16,16,0,11,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,64.0,4.329024791717529,0.8990505116375713,0.9132631578947369,0.06326897598731285
"GP+ GPClassifier (PowerExp, p=learned, LBFGS-defaults)",500,500,9500,2,82.53906321525574,0.26007914543151855,16,16,0,3,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,88.0,4.400871276855469,0.9038357996287352,0.9028421052631579,0.07152372279341286
TabPFN Classifier (v2.5 default),500,500,9500,2,1.209348201751709,3.4567320346832275,1,1,0,0,,,0.07137155839650412,,0.9004210526315789,0.07158946655263877
TabPFN Classifier (v2 compatibility),500,500,9500,2,0.1527256965637207,3.216644763946533,1,1,0,0,,,0.07397229612079462,,0.9050526315789473,0.06864695266024824
"GP+ GPClassifier (RBF, ARD, LBFGS-defaults)",50,500,9500,3,12.824414014816284,0.014291763305664062,16,16,0,14,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,194.0,4.424434661865234,0.24568018228518762,0.7077894736842105,0.24305004710716485
"GP+ GPClassifier (Matern, nu=0.5, ARD, LBFGS-defaults)",50,500,9500,3,4.044997692108154,0.008107423782348633,16,16,0,11,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,63.0,4.625852584838867,0.3026987720683194,0.6658947368421053,0.2962351355277717
"GP+ GPClassifier (PowerExp, p=learned, LBFGS-defaults)",50,500,9500,3,12.231311082839966,0.025651216506958008,16,16,0,4,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,126.0,4.424389839172363,0.306686036537847,0.7072631578947368,0.24309471961426526
TabPFN Classifier (v2.5 default),50,500,9500,3,0.15355730056762695,2.8777453899383545,1,1,0,0,,,0.12070881773275804,,0.7684210526315789,0.1521910991766163
TabPFN Classifier (v2 compatibility),50,500,9500,3,0.09657573699951172,2.5809834003448486,1,1,0,0,,,0.1266573878791342,,0.8071578947368421,0.1334000930759971
"GP+ GPClassifier (RBF, ARD, LBFGS-defaults)",100,500,9500,3,9.375164031982422,0.008646488189697266,16,16,0,7,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,111.0,4.407930374145508,0.6586819328753748,0.7270526315789474,0.225179078036376
"GP+ GPClassifier (Matern, nu=0.5, ARD, LBFGS-defaults)",100,500,9500,3,4.404774904251099,0.016985177993774414,16,16,0,13,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,37.0,4.511405944824219,0.6536971383580047,0.7770526315789473,0.172815716126999
"GP+ GPClassifier (PowerExp, p=learned, LBFGS-defaults)",100,500,9500,3,11.308818817138672,0.04908609390258789,16,16,0,14,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,86.0,4.422788619995117,0.6258904411475135,0.7978947368421052,0.15419001462803925
TabPFN Classifier (v2.5 default),100,500,9500,3,0.13910365104675293,2.9540133476257324,1,1,0,0,,,0.13391546338260688,,0.8002105263157895,0.1402170562441365
TabPFN Classifier (v2 compatibility),100,500,9500,3,0.11293244361877441,2.6530818939208984,1,1,0,0,,,0.17468954404950002,,0.8217894736842105,0.12888299852036542
"GP+ GPClassifier (RBF, ARD, LBFGS-defaults)",300,500,9500,3,5.411431312561035,0.03043365478515625,16,16,0,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,34.0,4.449213981628418,0.8477580918477248,0.872,0.09779559254907187
"GP+ GPClassifier (Matern, nu=0.5, ARD, LBFGS-defaults)",300,500,9500,3,8.681286334991455,0.03710055351257324,16,16,0,7,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,35.0,4.326903343200684,0.8327142088289643,0.8906315789473684,0.07717391633680812
"GP+ GPClassifier (PowerExp, p=learned, LBFGS-defaults)",300,500,9500,3,32.176193952560425,0.15422391891479492,16,16,0,14,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,84.0,4.373814582824707,0.8455202526627663,0.8733684210526316,0.09067499274726339
TabPFN Classifier (v2.5 default),300,500,9500,3,0.17119455337524414,3.1531496047973633,1,1,0,0,,,0.06821400122402006,,0.8643157894736843,0.09459719909444889
TabPFN Classifier (v2 compatibility),300,500,9500,3,0.1215662956237793,2.9407525062561035,1,1,0,0,,,0.07401768769494903,,0.8642105263157894,0.0922879294658945
"GP+ GPClassifier (RBF, ARD, LBFGS-defaults)",500,500,9500,3,17.537961959838867,0.05719494819641113,16,16,0,9,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,66.0,4.385436534881592,0.9086104271396858,0.8777894736842106,0.09225712344578496
"GP+ GPClassifier (Matern, nu=0.5, ARD, LBFGS-defaults)",500,500,9500,3,14.876495599746704,0.07076120376586914,16,16,0,6,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,63.0,4.2385711669921875,0.8861201350723327,0.9041052631578947,0.06790425133999017
"GP+ GPClassifier (PowerExp, p=learned, LBFGS-defaults)",500,500,9500,3,67.5748839378357,0.2818481922149658,16,16,0,3,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,61.0,4.283881187438965,0.8978747443272521,0.890421052631579,0.08042957428651003
TabPFN Classifier (v2.5 default),500,500,9500,3,0.23948335647583008,3.4275076389312744,1,1,0,0,,,0.03346698068418992,,0.8868421052631579,0.07845256476384814
TabPFN Classifier (v2 compatibility),500,500,9500,3,0.12763762474060059,3.2398650646209717,1,1,0,0,,,0.031200577324269778,,0.8916842105263157,0.07527087596588032
"GP+ GPClassifier (RBF, ARD, LBFGS-defaults)",50,500,9500,4,8.68663239479065,0.008724212646484375,16,16,0,1,ABNORMAL: ,112.0,4.473543643951416,0.31353686112395707,0.7806315789473685,0.16879793835638127
"GP+ GPClassifier (Matern, nu=0.5, ARD, LBFGS-defaults)",50,500,9500,4,4.908564329147339,0.010880231857299805,16,16,0,11,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,67.0,4.610632419586182,0.31059431230139517,0.6877894736842105,0.2599640871132019
"GP+ GPClassifier (PowerExp, p=learned, LBFGS-defaults)",50,500,9500,4,11.47635531425476,0.023847579956054688,16,16,0,14,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,74.0,4.473546028137207,0.30498706625837624,0.7806315789473685,0.16898374347844705
TabPFN Classifier (v2.5 default),50,500,9500,4,0.13866424560546875,2.871370553970337,1,1,0,0,,,0.13024663860980298,,0.8182105263157895,0.13047373098240792
TabPFN Classifier (v2 compatibility),50,500,9500,4,0.11472058296203613,2.5689780712127686,1,1,0,0,,,0.18222532815510106,,0.8243157894736842,0.12387198949196553
"GP+ GPClassifier (RBF, ARD, LBFGS-defaults)",100,500,9500,4,8.364391803741455,0.0,16,16,0,6,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,132.0,4.484313011169434,0.6118469408725654,0.7634736842105263,0.1938928400123253
"GP+ GPClassifier (Matern, nu=0.5, ARD, LBFGS-defaults)",100,500,9500,4,5.28511118888855,0.016219139099121094,16,16,0,2,ABNORMAL: ,57.0,4.509742736816406,0.628687125546073,0.8274736842105264,0.13286034846947892
"GP+ GPClassifier (PowerExp, p=learned, LBFGS-defaults)",100,500,9500,4,13.841346740722656,0.04797554016113281,16,16,0,3,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,107.0,4.483798027038574,0.5876703802684056,0.765578947368421,0.1918213359464932
TabPFN Classifier (v2.5 default),100,500,9500,4,1.3720831871032715,2.9942665100097656,1,1,0,0,,,0.12266912142509823,,0.8221052631578948,0.12484026797780572
TabPFN Classifier (v2 compatibility),100,500,9500,4,0.12949037551879883,2.5957486629486084,1,1,0,0,,,0.14534626196559094,,0.8301052631578948,0.11833949661493323
"GP+ GPClassifier (RBF, ARD, LBFGS-defaults)",300,500,9500,4,7.227150201797485,0.03252005577087402,16,16,0,2,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,47.0,4.480735778808594,0.8516929504789905,0.8565263157894737,0.10746592867027248
"GP+ GPClassifier (Matern, nu=0.5, ARD, LBFGS-defaults)",300,500,9500,4,7.5940916538238525,0.03239893913269043,16,16,0,6,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,29.0,4.408336639404297,0.8450120018858855,0.9005263157894737,0.06942320109088485
"GP+ GPClassifier (PowerExp, p=learned, LBFGS-defaults)",300,500,9500,4,32.927581548690796,0.1473090648651123,16,16,0,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,100.0,4.450129508972168,0.8453025074555756,0.8828421052631579,0.08619295275990706
TabPFN Classifier (v2.5 default),300,500,9500,4,0.16754364967346191,3.155338764190674,1,1,0,0,,,0.08468616055102492,,0.8881052631578947,0.07983269868281442
TabPFN Classifier (v2 compatibility),300,500,9500,4,0.11422348022460938,2.9808051586151123,1,1,0,0,,,0.06636619883156315,,0.8905263157894737,0.07837313846832893
"GP+ GPClassifier (RBF, ARD, LBFGS-defaults)",500,500,9500,4,11.66736102104187,0.05978560447692871,16,16,0,6,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,37.0,4.323424339294434,0.908731518688243,0.8751578947368421,0.094998458932689
"GP+ GPClassifier (Matern, nu=0.5, ARD, LBFGS-defaults)",500,500,9500,4,13.162794828414917,0.08042263984680176,16,16,0,8,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,32.0,4.235645771026611,0.9146257907581923,0.9106315789473685,0.06510266990014096
"GP+ GPClassifier (PowerExp, p=learned, LBFGS-defaults)",500,500,9500,4,75.24660730361938,0.2800731658935547,16,16,0,2,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,63.0,4.29356575012207,0.9038963104526168,0.8902105263157895,0.08136290369781338
TabPFN Classifier (v2.5 default),500,500,9500,4,0.2131037712097168,3.4838790893554688,1,1,0,0,,,0.05656672205273127,,0.8962105263157895,0.07270436460722714
TabPFN Classifier (v2 compatibility),500,500,9500,4,0.12934398651123047,3.3077797889709473,1,1,0,0,,,0.051345920238847,,0.9004210526315789,0.07053238450758624
"GP+ GPClassifier (RBF, ARD, LBFGS-defaults)",50,500,9500,5,8.847259283065796,0.0072214603424072266,16,16,0,9,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,112.0,4.636743068695068,0.32269755449446846,0.7102105263157895,0.2452918304008183
"GP+ GPClassifier (Matern, nu=0.5, ARD, LBFGS-defaults)",50,500,9500,5,5.327359914779663,0.008019208908081055,16,16,0,4,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,59.0,4.823489189147949,0.349201620324916,0.7317894736842105,0.2168195657914375
"GP+ GPClassifier (PowerExp, p=learned, LBFGS-defaults)",50,500,9500,5,8.040549993515015,0.025899410247802734,16,16,0,6,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,86.0,4.636695861816406,0.3051283207678575,0.7109473684210527,0.245110271941835
TabPFN Classifier (v2.5 default),50,500,9500,5,0.15557503700256348,2.940803050994873,1,1,0,0,,,0.3637605844270682,,0.7252631578947368,0.17899841891043985
TabPFN Classifier (v2 compatibility),50,500,9500,5,0.13905024528503418,2.5472781658172607,1,1,0,0,,,0.40269247274160164,,0.7905263157894736,0.15071148639574183
"GP+ GPClassifier (RBF, ARD, LBFGS-defaults)",100,500,9500,5,6.342419624328613,0.004006624221801758,16,16,0,1,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,81.0,4.588323593139648,0.6385113048974274,0.7492631578947369,0.20545735362107498
"GP+ GPClassifier (Matern, nu=0.5, ARD, LBFGS-defaults)",100,500,9500,5,6.891963720321655,0.01772451400756836,16,16,0,8,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,44.0,4.5939040184021,0.5866578059257558,0.7758947368421053,0.1796168287242905
"GP+ GPClassifier (PowerExp, p=learned, LBFGS-defaults)",100,500,9500,5,12.862954139709473,0.04427528381347656,16,16,0,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,80.0,4.587863445281982,0.6363217151773437,0.7661052631578947,0.19468422658961027
TabPFN Classifier (v2.5 default),100,500,9500,5,0.12815117835998535,2.974867582321167,1,1,0,0,,,0.19009015647977415,,0.7865263157894736,0.14309833531954178
TabPFN Classifier (v2 compatibility),100,500,9500,5,0.12190055847167969,2.6108922958374023,1,1,0,0,,,0.24770269150335242,,0.8086315789473684,0.13122657539957852
"GP+ GPClassifier (RBF, ARD, LBFGS-defaults)",300,500,9500,5,15.496394872665405,0.028959274291992188,16,16,0,5,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,133.0,4.612265586853027,0.8674363147658624,0.867578947368421,0.09768855840458761
"GP+ GPClassifier (Matern, nu=0.5, ARD, LBFGS-defaults)",300,500,9500,5,9.05542516708374,0.035637617111206055,16,16,0,4,ABNORMAL: ,39.0,4.500802516937256,0.8821929315821425,0.9057894736842105,0.06836113192638882
"GP+ GPClassifier (PowerExp, p=learned, LBFGS-defaults)",300,500,9500,5,38.08600187301636,0.15280795097351074,16,16,0,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,89.0,4.50838565826416,0.8665423240570531,0.884,0.08555834838640831
TabPFN Classifier (v2.5 default),300,500,9500,5,1.5222866535186768,3.194793224334717,1,1,0,0,,,0.143770783829695,,0.8694736842105263,0.09131008292959933
TabPFN Classifier (v2 compatibility),300,500,9500,5,0.1222076416015625,3.1021833419799805,1,1,0,0,,,0.15694283931189512,,0.8698947368421053,0.09043086573579145
"GP+ GPClassifier (RBF, ARD, LBFGS-defaults)",500,500,9500,5,18.881181716918945,0.0466005802154541,16,16,0,1,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,76.0,4.440217971801758,0.9083753749646618,0.872421052631579,0.0953940728131312
