outputscale,omega,lml
-5.000000000000000000e+00,-6.000000000000000000e+00,-4.999862074600694580e+11
-4.955000000000000071e+00,-6.000000000000000000e+00,-4.999847660755750732e+11
-4.910000000000000142e+00,-6.000000000000000000e+00,-4.999831686956208496e+11
-4.865000000000000213e+00,-6.000000000000000000e+00,-4.999813971544757080e+11
-4.820000000000000284e+00,-6.000000000000000000e+00,-4.999794312316857910e+11
-4.775000000000000355e+00,-6.000000000000000000e+00,-4.999772503123792725e+11
-4.730000000000000426e+00,-6.000000000000000000e+00,-4.999748353387673340e+11
-4.684999999999999609e+00,-6.000000000000000000e+00,-4.999721524017329102e+11
-4.639999999999999680e+00,-6.000000000000000000e+00,-4.999691801668981323e+11
-4.594999999999999751e+00,-6.000000000000000000e+00,-4.999658798960636597e+11
-4.549999999999999822e+00,-6.000000000000000000e+00,-4.999622222083536987e+11
-4.504999999999999893e+00,-6.000000000000000000e+00,-4.999581676827175293e+11
-4.459999999999999964e+00,-6.000000000000000000e+00,-4.999536662135449829e+11
-4.415000000000000036e+00,-6.000000000000000000e+00,-4.999486750982072144e+11
-4.370000000000000107e+00,-6.000000000000000000e+00,-4.999431435860228271e+11
-4.325000000000000178e+00,-6.000000000000000000e+00,-4.999370065969947510e+11
-4.280000000000000249e+00,-6.000000000000000000e+00,-4.999301970222708740e+11
-4.235000000000000320e+00,-6.000000000000000000e+00,-4.999226520234766235e+11
-4.190000000000000391e+00,-6.000000000000000000e+00,-4.999142866385461426e+11
-4.144999999999999574e+00,-6.000000000000000000e+00,-4.999050071830407104e+11
-4.099999999999999645e+00,-6.000000000000000000e+00,-4.998947232930769043e+11
-4.054999999999999716e+00,-6.000000000000000000e+00,-4.998833095829470825e+11
-4.009999999999999787e+00,-6.000000000000000000e+00,-4.998706555954121704e+11
-3.964999999999999858e+00,-6.000000000000000000e+00,-4.998566227379270020e+11
-3.919999999999999929e+00,-6.000000000000000000e+00,-4.998410807024553223e+11
-3.875000000000000000e+00,-6.000000000000000000e+00,-4.998238344128095093e+11
-3.830000000000000071e+00,-6.000000000000000000e+00,-4.998047079794656372e+11
-3.785000000000000142e+00,-6.000000000000000000e+00,-4.997835329401846313e+11
-3.740000000000000213e+00,-6.000000000000000000e+00,-4.997600236775544434e+11
-3.695000000000000284e+00,-6.000000000000000000e+00,-4.997340024126118164e+11
-3.650000000000000355e+00,-6.000000000000000000e+00,-4.997051588949699097e+11
-3.604999999999999982e+00,-6.000000000000000000e+00,-4.996731742261873169e+11
-3.560000000000000053e+00,-6.000000000000000000e+00,-4.996377533562546997e+11
-3.515000000000000124e+00,-6.000000000000000000e+00,-4.995985076444808350e+11
-3.469999999999999751e+00,-6.000000000000000000e+00,-4.995549727406350708e+11
-3.424999999999999822e+00,-6.000000000000000000e+00,-4.995068166027863159e+11
-3.379999999999999893e+00,-6.000000000000000000e+00,-4.994534096427840576e+11
-3.334999999999999964e+00,-6.000000000000000000e+00,-4.993943231566998291e+11
-3.290000000000000036e+00,-6.000000000000000000e+00,-4.993289191337304077e+11
-3.245000000000000107e+00,-6.000000000000000000e+00,-4.992564923978760986e+11
-3.200000000000000178e+00,-6.000000000000000000e+00,-4.991762963179755249e+11
-3.155000000000000249e+00,-6.000000000000000000e+00,-4.990876074384618530e+11
-3.110000000000000320e+00,-6.000000000000000000e+00,-4.989894402688265381e+11
-3.065000000000000391e+00,-6.000000000000000000e+00,-4.988809332532693481e+11
-3.020000000000000018e+00,-6.000000000000000000e+00,-4.987609643606358032e+11
-2.975000000000000089e+00,-6.000000000000000000e+00,-4.986284788792492676e+11
-2.930000000000000160e+00,-6.000000000000000000e+00,-4.984819512797864990e+11
-2.885000000000000231e+00,-6.000000000000000000e+00,-4.983201480128646851e+11
-2.839999999999999858e+00,-6.000000000000000000e+00,-4.981416505335863037e+11
-2.794999999999999929e+00,-6.000000000000000000e+00,-4.979446303319735718e+11
-2.750000000000000000e+00,-6.000000000000000000e+00,-4.977274879366860962e+11
-2.705000000000000071e+00,-6.000000000000000000e+00,-4.974880527589274902e+11
-2.660000000000000142e+00,-6.000000000000000000e+00,-4.972249865160408325e+11
