model,train_size,train_pool_size,test_size,seed,train_time_s,infer_time_s,n_restarts,n_successful_restarts,n_failed_restarts,selected_restart_idx,lbfgs_stop_reason,lbfgs_iterations,final_train_nll,accuracy,brier
"GP+ GPClassifier (PowerExp, p=learned, LBFGS-defaults)",100,500,9500,1,9.274823904037476,0.04781818389892578,16,16,0,11,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,102.0,4.642997741699219,0.7374736842105263,0.20743233499412567
TabPFN Classifier (v2.5 default),100,500,9500,1,0.14348196983337402,3.215998888015747,1,1,0,0,,,0.1763415479593064,0.7903157894736842,0.1423643382019156
TabPFN Classifier (v2 compatibility),100,500,9500,1,0.1196894645690918,2.697469711303711,1,1,0,0,,,0.20423637120389945,0.8048421052631579,0.13208792004916173
"GP+ GPClassifier (RBF, ARD, LBFGS-defaults)",300,500,9500,1,10.321338176727295,0.02723526954650879,16,16,0,13,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,106.0,4.510243892669678,0.8495789473684211,0.11399672606488205
"GP+ GPClassifier (Matern, nu=0.5, ARD, LBFGS-defaults)",300,500,9500,1,5.362600088119507,0.035202741622924805,16,16,0,4,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,30.0,4.427248954772949,0.8882105263157895,0.07963361512552221
"GP+ GPClassifier (PowerExp, p=learned, LBFGS-defaults)",300,500,9500,1,31.698335647583008,0.14580988883972168,16,16,0,2,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,93.0,4.470887184143066,0.8757894736842106,0.09052736861700118
TabPFN Classifier (v2.5 default),300,500,9500,1,0.18636822700500488,3.324651002883911,1,1,0,0,,,0.11284835623661775,0.8628421052631579,0.09653891354814988
TabPFN Classifier (v2 compatibility),300,500,9500,1,0.13947749137878418,3.877084970474243,1,1,0,0,,,0.13467929827037092,0.8627368421052631,0.0955804052827396
"GP+ GPClassifier (RBF, ARD, LBFGS-defaults)",500,500,9500,1,16.791282653808594,0.048120975494384766,16,16,0,7,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,83.0,4.4350199699401855,0.8687368421052631,0.09973394104649663
"GP+ GPClassifier (Matern, nu=0.5, ARD, LBFGS-defaults)",500,500,9500,1,9.963216781616211,0.06679010391235352,16,16,0,6,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,24.0,4.30966854095459,0.9102105263157895,0.06430438648060144
