model,train_size,train_pool_size,test_size,seed,train_time_s,infer_time_s,n_restarts,n_successful_restarts,n_failed_restarts,selected_restart_idx,lbfgs_stop_reason,lbfgs_iterations,final_train_nll,accuracy,brier
"GP+ GPClassifier (Matern, nu=0.5, ARD, LBFGS-defaults)",500,500,9500,0,18.134525060653687,0.07851409912109375,16,16,0,13,ABNORMAL: ,38.0,4.338336944580078,0.9172631578947369,0.05863867884620761
"GPyTorch Milios Dirichlet (RBF, ARD, LBFGS-defaults)",500,500,9500,0,20.354170083999634,0.045003414154052734,16,16,0,12,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,61.0,4.267352104187012,0.9145263157894736,0.05972297760192678
"GP+ GPClassifier (PowerExp, p=learned, LBFGS-defaults)",500,500,9500,0,97.8576250076294,0.4611992835998535,16,16,0,2,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,71.0,4.40361213684082,0.9024210526315789,0.07003132944799265
TabPFN Classifier (v2.5 default),500,500,9500,0,0.20123863220214844,4.442305326461792,1,1,0,0,,,0.08183319233708901,0.8906315789473684,0.07642736392860158
TabPFN Classifier (v2 compatibility),500,500,9500,0,0.19202208518981934,3.502241373062134,1,1,0,0,,,0.0750688830609265,0.9018947368421053,0.0709885013055756
"GP+ GPClassifier (RBF, ARD, LBFGS-defaults)",50,500,9500,1,12.32978343963623,0.010998964309692383,16,16,0,10,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,100.0,4.676867485046387,0.6687368421052632,0.2598040258146973
"GP+ GPClassifier (Matern, nu=0.5, ARD, LBFGS-defaults)",50,500,9500,1,3.0809664726257324,0.009000778198242188,16,16,0,10,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,38.0,4.887118339538574,0.6428421052631579,0.2770754246982479
"GPyTorch Milios Dirichlet (RBF, ARD, LBFGS-defaults)",50,500,9500,1,8.046973705291748,0.008467435836791992,16,16,0,6,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,151.0,4.692296028137207,0.6394736842105263,0.292597854009053
"GP+ GPClassifier (PowerExp, p=learned, LBFGS-defaults)",50,500,9500,1,8.83083462715149,0.027727603912353516,16,16,0,13,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,110.0,4.691164016723633,0.62,0.32184229613992704
TabPFN Classifier (v2.5 default),50,500,9500,1,0.18446993827819824,3.4430744647979736,1,1,0,0,,,0.34918775204928854,0.7431578947368421,0.17750738978051503
TabPFN Classifier (v2 compatibility),50,500,9500,1,0.16736364364624023,3.038902521133423,1,1,0,0,,,0.37355604021136907,0.7876842105263158,0.15361015019471086
"GP+ GPClassifier (RBF, ARD, LBFGS-defaults)",100,500,9500,1,7.681925296783447,0.009612798690795898,16,12,4,10,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,152.0,4.6401519775390625,0.7254736842105263,0.22050708882586245
"GP+ GPClassifier (Matern, nu=0.5, ARD, LBFGS-defaults)",100,500,9500,1,5.8402931690216064,0.01361536979675293,16,16,0,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,46.0,4.6096978187561035,0.784,0.16620255474868031
"GPyTorch Milios Dirichlet (RBF, ARD, LBFGS-defaults)",100,500,9500,1,12.894318342208862,0.010011672973632812,16,16,0,5,ABNORMAL: ,194.0,4.545320987701416,0.7841052631578947,0.16252896375185522
"GP+ GPClassifier (PowerExp, p=learned, LBFGS-defaults)",100,500,9500,1,12.189044713973999,0.05140089988708496,16,16,0,11,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,102.0,4.642997741699219,0.7374736842105263,0.20743233499412567
TabPFN Classifier (v2.5 default),100,500,9500,1,0.17799615859985352,3.6086909770965576,1,1,0,0,,,0.1763415479593064,0.7903157894736842,0.1423643382019156
TabPFN Classifier (v2 compatibility),100,500,9500,1,0.15267729759216309,3.0477700233459473,1,1,0,0,,,0.20423637120389945,0.8048421052631579,0.13208792004916173
"GP+ GPClassifier (RBF, ARD, LBFGS-defaults)",300,500,9500,1,17.342694997787476,0.03918123245239258,16,16,0,13,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,106.0,4.510243892669678,0.8495789473684211,0.11399672606488205
"GP+ GPClassifier (Matern, nu=0.5, ARD, LBFGS-defaults)",300,500,9500,1,8.199779510498047,0.0368349552154541,16,16,0,4,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,30.0,4.427248954772949,0.8882105263157895,0.07963361512552221
"GPyTorch Milios Dirichlet (RBF, ARD, LBFGS-defaults)",300,500,9500,1,9.572879076004028,0.027659893035888672,16,16,0,10,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,58.0,4.3692755699157715,0.8836842105263157,0.08287286632601196
"GP+ GPClassifier (PowerExp, p=learned, LBFGS-defaults)",300,500,9500,1,41.913140296936035,0.16949462890625,16,16,0,2,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,93.0,4.470887184143066,0.8757894736842106,0.09052736861700118
TabPFN Classifier (v2.5 default),300,500,9500,1,1.5849082469940186,3.3071532249450684,1,1,0,0,,,0.11284835623661775,0.8628421052631579,0.09653891354814988
TabPFN Classifier (v2 compatibility),300,500,9500,1,0.13916468620300293,3.0358314514160156,1,1,0,0,,,0.13467929827037092,0.8627368421052631,0.0955804052827396
"GP+ GPClassifier (RBF, ARD, LBFGS-defaults)",500,500,9500,1,21.0435791015625,0.058000802993774414,16,16,0,7,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,83.0,4.4350199699401855,0.8687368421052631,0.09973394104649663
"GP+ GPClassifier (Matern, nu=0.5, ARD, LBFGS-defaults)",500,500,9500,1,12.340771436691284,0.07732224464416504,16,16,0,6,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,24.0,4.30966854095459,0.9102105263157895,0.06430438648060144
"GPyTorch Milios Dirichlet (RBF, ARD, LBFGS-defaults)",500,500,9500,1,27.39849853515625,0.0533449649810791,16,16,0,8,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,97.0,4.24269437789917,0.9036842105263158,0.06823129906360373
"GP+ GPClassifier (PowerExp, p=learned, LBFGS-defaults)",500,500,9500,1,61.6193425655365,0.3966219425201416,16,16,0,1,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,72.0,4.385231971740723,0.8954736842105263,0.07870024028350862
TabPFN Classifier (v2.5 default),500,500,9500,1,0.21536540985107422,3.6424880027770996,1,1,0,0,,,0.074609848224463,0.8956842105263157,0.07551835126017899
TabPFN Classifier (v2 compatibility),500,500,9500,1,0.15355443954467773,3.456085681915283,1,1,0,0,,,0.058639532003048445,0.9021052631578947,0.0691211971136159
"GP+ GPClassifier (RBF, ARD, LBFGS-defaults)",50,500,9500,2,8.085559368133545,0.00814056396484375,16,16,0,5,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,96.0,4.656325340270996,0.7429473684210526,0.20606168628033442
"GP+ GPClassifier (Matern, nu=0.5, ARD, LBFGS-defaults)",50,500,9500,2,2.8713648319244385,0.008185386657714844,16,16,0,9,ABNORMAL: ,61.0,4.72180700302124,0.7876842105263158,0.16021228498723838
"GPyTorch Milios Dirichlet (RBF, ARD, LBFGS-defaults)",50,500,9500,2,8.859373331069946,0.0049932003021240234,16,16,0,10,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,128.0,4.624322891235352,0.7612631578947369,0.18563535082090554
"GP+ GPClassifier (PowerExp, p=learned, LBFGS-defaults)",50,500,9500,2,10.773484230041504,0.03008747100830078,16,16,0,4,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,76.0,4.6562652587890625,0.7429473684210526,0.20601566954578648
TabPFN Classifier (v2.5 default),50,500,9500,2,0.20846271514892578,3.1694703102111816,1,1,0,0,,,0.25265588852906545,0.7629473684210526,0.16121151055061442
TabPFN Classifier (v2 compatibility),50,500,9500,2,0.1372373104095459,2.8662805557250977,1,1,0,0,,,0.30099377615031253,0.7901052631578948,0.14710795875017338
"GP+ GPClassifier (RBF, ARD, LBFGS-defaults)",100,500,9500,2,9.32607102394104,0.014007806777954102,16,16,0,8,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,120.0,4.633693695068359,0.7095789473684211,0.24050375902891927
"GP+ GPClassifier (Matern, nu=0.5, ARD, LBFGS-defaults)",100,500,9500,2,5.36799168586731,0.015062332153320312,16,16,0,3,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,36.0,4.625927925109863,0.8388421052631579,0.11890568406705003
"GPyTorch Milios Dirichlet (RBF, ARD, LBFGS-defaults)",100,500,9500,2,8.275567531585693,0.009001493453979492,16,16,0,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,121.0,4.546464443206787,0.832,0.12437723676554283
"GP+ GPClassifier (PowerExp, p=learned, LBFGS-defaults)",100,500,9500,2,10.248735189437866,0.04926252365112305,16,16,0,14,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,128.0,4.509193420410156,0.7023157894736842,0.24573809877688582
TabPFN Classifier (v2.5 default),100,500,9500,2,0.2036588191986084,3.1645355224609375,1,1,0,0,,,0.1509495485175729,0.8088421052631579,0.1303056847542811
TabPFN Classifier (v2 compatibility),100,500,9500,2,0.1486647129058838,2.8088462352752686,1,1,0,0,,,0.24869893302387475,0.8054736842105263,0.13211003621506306
"GP+ GPClassifier (RBF, ARD, LBFGS-defaults)",300,500,9500,2,7.99898099899292,0.029353618621826172,16,16,0,4,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,47.0,4.481480598449707,0.8606315789473684,0.10561236828507155
"GP+ GPClassifier (Matern, nu=0.5, ARD, LBFGS-defaults)",300,500,9500,2,6.693855047225952,0.03973865509033203,16,16,0,1,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,34.0,4.376407623291016,0.8946315789473684,0.07447508309652966
"GPyTorch Milios Dirichlet (RBF, ARD, LBFGS-defaults)",300,500,9500,2,10.534393548965454,0.02592182159423828,16,16,0,11,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,90.0,4.3166351318359375,0.8952631578947369,0.0732428295090085
"GP+ GPClassifier (PowerExp, p=learned, LBFGS-defaults)",300,500,9500,2,29.486311674118042,0.15802383422851562,16,16,0,7,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,57.0,4.461050987243652,0.8827368421052632,0.08714842319045386
TabPFN Classifier (v2.5 default),300,500,9500,2,0.21653294563293457,4.762456655502319,1,1,0,0,,,0.10847948104483791,0.8752631578947369,0.08718408379865492
TabPFN Classifier (v2 compatibility),300,500,9500,2,0.1494607925415039,3.277921438217163,1,1,0,0,,,0.10994724584333805,0.8763157894736842,0.08596127725391431
"GP+ GPClassifier (RBF, ARD, LBFGS-defaults)",500,500,9500,2,16.235483407974243,0.05993485450744629,16,16,0,11,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,59.0,4.51811408996582,0.8763157894736842,0.09299239289834922
"GP+ GPClassifier (Matern, nu=0.5, ARD, LBFGS-defaults)",500,500,9500,2,14.726285696029663,0.0737311840057373,16,16,0,11,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,64.0,4.329024791717529,0.9132631578947369,0.06326897598731285
"GPyTorch Milios Dirichlet (RBF, ARD, LBFGS-defaults)",500,500,9500,2,24.074628591537476,0.048837900161743164,16,16,0,6,ABNORMAL: ,91.0,4.260348320007324,0.91,0.06346826288397804
"GP+ GPClassifier (PowerExp, p=learned, LBFGS-defaults)",500,500,9500,2,80.52667117118835,0.43717455863952637,16,16,0,3,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,88.0,4.400871276855469,0.9028421052631579,0.07152372279341286
TabPFN Classifier (v2.5 default),500,500,9500,2,0.8192813396453857,4.287897825241089,1,1,0,0,,,0.07137155839650412,0.9004210526315789,0.07158946655263877
TabPFN Classifier (v2 compatibility),500,500,9500,2,0.1657733917236328,3.542544364929199,1,1,0,0,,,0.07397229612079462,0.9050526315789473,0.06864695266024824
"GP+ GPClassifier (RBF, ARD, LBFGS-defaults)",50,500,9500,3,13.315309762954712,0.008081436157226562,16,16,0,14,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,194.0,4.424434661865234,0.7077894736842105,0.24305004710716485
"GP+ GPClassifier (Matern, nu=0.5, ARD, LBFGS-defaults)",50,500,9500,3,4.14760684967041,0.008228540420532227,16,16,0,11,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,63.0,4.625852584838867,0.6658947368421053,0.2962351355277717
"GPyTorch Milios Dirichlet (RBF, ARD, LBFGS-defaults)",50,500,9500,3,15.247002840042114,0.005385875701904297,16,16,0,4,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,360.0,4.358957290649414,0.7069473684210527,0.23903717612767728
"GP+ GPClassifier (PowerExp, p=learned, LBFGS-defaults)",50,500,9500,3,11.970820665359497,0.027240991592407227,16,16,0,4,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,126.0,4.424389839172363,0.7072631578947368,0.24309471961426526
TabPFN Classifier (v2.5 default),50,500,9500,3,0.1823279857635498,3.361027240753174,1,1,0,0,,,0.12070881773275804,0.7684210526315789,0.1521910991766163
TabPFN Classifier (v2 compatibility),50,500,9500,3,0.14752697944641113,3.01015043258667,1,1,0,0,,,0.1266573878791342,0.8071578947368421,0.1334000930759971
"GP+ GPClassifier (RBF, ARD, LBFGS-defaults)",100,500,9500,3,9.804697275161743,0.01081085205078125,16,16,0,7,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,111.0,4.407930374145508,0.7270526315789474,0.225179078036376
"GP+ GPClassifier (Matern, nu=0.5, ARD, LBFGS-defaults)",100,500,9500,3,4.959552764892578,0.011489629745483398,16,16,0,13,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,37.0,4.511405944824219,0.7770526315789473,0.172815716126999
"GPyTorch Milios Dirichlet (RBF, ARD, LBFGS-defaults)",100,500,9500,3,7.1230387687683105,0.007009029388427734,16,16,0,10,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,89.0,4.448265075683594,0.8067368421052632,0.14618333230276606
"GP+ GPClassifier (PowerExp, p=learned, LBFGS-defaults)",100,500,9500,3,13.632093906402588,0.050957679748535156,16,16,0,14,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,86.0,4.422788619995117,0.7978947368421052,0.15419001462803925
TabPFN Classifier (v2.5 default),100,500,9500,3,0.17892837524414062,3.1494624614715576,1,1,0,0,,,0.13391546338260688,0.8002105263157895,0.1402170562441365
TabPFN Classifier (v2 compatibility),100,500,9500,3,0.12808966636657715,2.786266803741455,1,1,0,0,,,0.17468954404950002,0.8217894736842105,0.12888299852036542
"GP+ GPClassifier (RBF, ARD, LBFGS-defaults)",300,500,9500,3,5.647443532943726,0.026986360549926758,16,16,0,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,34.0,4.449213981628418,0.872,0.09779559254907187
"GP+ GPClassifier (Matern, nu=0.5, ARD, LBFGS-defaults)",300,500,9500,3,8.69622540473938,0.0406651496887207,16,16,0,7,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,35.0,4.326903343200684,0.8906315789473684,0.07717391633680812
"GPyTorch Milios Dirichlet (RBF, ARD, LBFGS-defaults)",300,500,9500,3,19.562466621398926,0.020610809326171875,16,16,0,1,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,153.0,4.266763687133789,0.8921052631578947,0.07656236675206254
"GP+ GPClassifier (PowerExp, p=learned, LBFGS-defaults)",300,500,9500,3,32.573256969451904,0.16704177856445312,16,16,0,14,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,84.0,4.373814582824707,0.8733684210526316,0.09067499274726339
TabPFN Classifier (v2.5 default),300,500,9500,3,0.2189178466796875,3.581984758377075,1,1,0,0,,,0.06821400122402006,0.8643157894736843,0.09459719909444889
TabPFN Classifier (v2 compatibility),300,500,9500,3,0.1516556739807129,3.11422061920166,1,1,0,0,,,0.07401768769494903,0.8642105263157894,0.0922879294658945
"GP+ GPClassifier (RBF, ARD, LBFGS-defaults)",500,500,9500,3,17.749019622802734,0.06206774711608887,16,16,0,9,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,66.0,4.385436534881592,0.8777894736842106,0.09225712344578496
"GP+ GPClassifier (Matern, nu=0.5, ARD, LBFGS-defaults)",500,500,9500,3,16.26765751838684,0.0735468864440918,16,16,0,6,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,63.0,4.2385711669921875,0.9041052631578947,0.06790425133999017
"GPyTorch Milios Dirichlet (RBF, ARD, LBFGS-defaults)",500,500,9500,3,36.23442006111145,0.05651259422302246,16,16,0,7,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,211.0,4.205397605895996,0.908,0.06523070039659241
"GP+ GPClassifier (PowerExp, p=learned, LBFGS-defaults)",500,500,9500,3,78.8397228717804,0.36675047874450684,16,16,0,3,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,61.0,4.283881187438965,0.890421052631579,0.08042957428651003
TabPFN Classifier (v2.5 default),500,500,9500,3,1.355609655380249,4.018148183822632,1,1,0,0,,,0.03346698068418992,0.8868421052631579,0.07845256476384814
TabPFN Classifier (v2 compatibility),500,500,9500,3,0.21576619148254395,3.58882999420166,1,1,0,0,,,0.031200577324269778,0.8916842105263157,0.07527087596588032
"GP+ GPClassifier (RBF, ARD, LBFGS-defaults)",50,500,9500,4,12.83359956741333,0.008999824523925781,16,16,0,1,ABNORMAL: ,112.0,4.473543643951416,0.7806315789473685,0.16879793835638127
"GP+ GPClassifier (Matern, nu=0.5, ARD, LBFGS-defaults)",50,500,9500,4,7.068671703338623,0.00900125503540039,16,16,0,11,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,67.0,4.610632419586182,0.6877894736842105,0.2599640871132019
"GPyTorch Milios Dirichlet (RBF, ARD, LBFGS-defaults)",50,500,9500,4,17.287873029708862,0.006003856658935547,16,16,0,4,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,195.0,4.5177154541015625,0.7685263157894737,0.1693456882203266
"GP+ GPClassifier (PowerExp, p=learned, LBFGS-defaults)",50,500,9500,4,15.43114185333252,0.027006149291992188,16,16,0,14,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,74.0,4.473546028137207,0.7806315789473685,0.16898374347844705
TabPFN Classifier (v2.5 default),50,500,9500,4,0.24247264862060547,3.110628604888916,1,1,0,0,,,0.13024663860980298,0.8182105263157895,0.13047373098240792
TabPFN Classifier (v2 compatibility),50,500,9500,4,0.13751840591430664,2.9720473289489746,1,1,0,0,,,0.18222532815510106,0.8243157894736842,0.12387198949196553
"GP+ GPClassifier (RBF, ARD, LBFGS-defaults)",100,500,9500,4,11.24872875213623,0.012998819351196289,16,16,0,6,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,132.0,4.484313011169434,0.7634736842105263,0.1938928400123253
"GP+ GPClassifier (Matern, nu=0.5, ARD, LBFGS-defaults)",100,500,9500,4,7.77592658996582,0.019999980926513672,16,16,0,2,ABNORMAL: ,57.0,4.509742736816406,0.8274736842105264,0.13286034846947892
"GPyTorch Milios Dirichlet (RBF, ARD, LBFGS-defaults)",100,500,9500,4,13.844176530838013,0.007017850875854492,16,16,0,4,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,161.0,4.452611923217773,0.8232631578947368,0.13480602479792458
"GP+ GPClassifier (PowerExp, p=learned, LBFGS-defaults)",100,500,9500,4,19.11453938484192,0.08920931816101074,16,16,0,3,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,107.0,4.483798027038574,0.765578947368421,0.1918213359464932
TabPFN Classifier (v2.5 default),100,500,9500,4,0.16892433166503906,3.2592289447784424,1,1,0,0,,,0.12266912142509823,0.8221052631578948,0.12484026797780572
TabPFN Classifier (v2 compatibility),100,500,9500,4,0.15456891059875488,2.9857988357543945,1,1,0,0,,,0.14534626196559094,0.8301052631578948,0.11833949661493323
"GP+ GPClassifier (RBF, ARD, LBFGS-defaults)",300,500,9500,4,10.429712772369385,0.028508424758911133,16,16,0,2,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,47.0,4.480735778808594,0.8565263157894737,0.10746592867027248
"GP+ GPClassifier (Matern, nu=0.5, ARD, LBFGS-defaults)",300,500,9500,4,9.976674318313599,0.03754687309265137,16,16,0,6,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,29.0,4.408336639404297,0.9005263157894737,0.06942320109088485
"GPyTorch Milios Dirichlet (RBF, ARD, LBFGS-defaults)",300,500,9500,4,23.549327850341797,0.038999319076538086,16,16,0,7,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,148.0,4.345659255981445,0.9018947368421053,0.07054032732920047
"GP+ GPClassifier (PowerExp, p=learned, LBFGS-defaults)",300,500,9500,4,41.140082359313965,0.15990686416625977,16,16,0,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,100.0,4.450129508972168,0.8828421052631579,0.08619295275990706
TabPFN Classifier (v2.5 default),300,500,9500,4,0.22203969955444336,3.606126546859741,1,1,0,0,,,0.08468616055102492,0.8881052631578947,0.07983269868281442
TabPFN Classifier (v2 compatibility),300,500,9500,4,0.14800548553466797,3.357170581817627,1,1,0,0,,,0.06636619883156315,0.8905263157894737,0.07837313846832893
"GP+ GPClassifier (RBF, ARD, LBFGS-defaults)",500,500,9500,4,14.429587125778198,0.05319404602050781,16,16,0,6,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,37.0,4.323424339294434,0.8751578947368421,0.094998458932689
"GP+ GPClassifier (Matern, nu=0.5, ARD, LBFGS-defaults)",500,500,9500,4,16.2719407081604,0.07888960838317871,16,16,0,8,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,32.0,4.235645771026611,0.9106315789473685,0.06510266990014096
"GPyTorch Milios Dirichlet (RBF, ARD, LBFGS-defaults)",500,500,9500,4,22.638399362564087,0.05099844932556152,16,16,0,11,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,78.0,4.19297981262207,0.9048421052631579,0.06874732604184665
"GP+ GPClassifier (PowerExp, p=learned, LBFGS-defaults)",500,500,9500,4,87.51640272140503,0.2422502040863037,16,16,0,2,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,63.0,4.29356575012207,0.8902105263157895,0.08136290369781338
