model,train_size,train_pool_size,test_size,seed,train_time_s,infer_time_s,n_restarts,n_successful_restarts,n_failed_restarts,selected_restart_idx,lbfgs_stop_reason,lbfgs_iterations,final_train_nll,accuracy,brier
"GP+ GPClassifier (RBF, ARD, LBFGS-defaults)",50,500,9500,0,10.273344039916992,0.005999326705932617,16,16,0,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,89.0,4.767233848571777,0.7327368421052631,0.21725904547748387
"GP+ GPClassifier (Matern, nu=0.5, ARD, LBFGS-defaults)",50,500,9500,0,7.392998695373535,0.011002063751220703,16,16,0,9,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,51.0,4.856758117675781,0.6258947368421053,0.3208155860912198
"GPyTorch Milios Dirichlet (RBF, ARD, LBFGS-defaults)",50,500,9500,0,10.318310022354126,0.0050013065338134766,16,16,0,9,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,111.0,4.763498306274414,0.6784210526315789,0.25245309562689117
"GP+ GPClassifier (PowerExp, p=learned, LBFGS-defaults)",50,500,9500,0,13.835561513900757,0.04251432418823242,16,16,0,12,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,82.0,4.731197357177734,0.623578947368421,0.31989200438447324
TabPFN Classifier (v2.5 default),50,500,9500,0,0.22719359397888184,3.2258200645446777,1,1,0,0,,,0.2838041060615776,0.6617894736842105,0.20144211637360795
TabPFN Classifier (v2 compatibility),50,500,9500,0,0.1371936798095703,2.9843497276306152,1,1,0,0,,,0.33045482775941587,0.7933684210526316,0.1518748601953363
"GP+ GPClassifier (RBF, ARD, LBFGS-defaults)",100,500,9500,0,12.879593849182129,0.013511180877685547,16,16,0,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,94.0,4.788439750671387,0.8111578947368421,0.14878847422780966
"GP+ GPClassifier (Matern, nu=0.5, ARD, LBFGS-defaults)",100,500,9500,0,8.43745493888855,0.014999628067016602,16,16,0,1,ABNORMAL: ,73.0,4.732010364532471,0.8466315789473684,0.11544929487981885
"GPyTorch Milios Dirichlet (RBF, ARD, LBFGS-defaults)",100,500,9500,0,9.973351240158081,0.008557558059692383,16,16,0,10,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,99.0,4.6773481369018555,0.8468421052631578,0.1163170504082677
"GP+ GPClassifier (PowerExp, p=learned, LBFGS-defaults)",100,500,9500,0,15.907212257385254,0.048999786376953125,16,16,0,5,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,116.0,4.721407890319824,0.8347368421052631,0.12656101653205598
TabPFN Classifier (v2.5 default),100,500,9500,0,0.1866908073425293,3.317939519882202,1,1,0,0,,,0.1324942840106911,0.816,0.1279820244700654
TabPFN Classifier (v2 compatibility),100,500,9500,0,0.1407630443572998,3.142749071121216,1,1,0,0,,,0.21257195040705404,0.8191578947368421,0.12432366461277951
"GP+ GPClassifier (RBF, ARD, LBFGS-defaults)",300,500,9500,0,13.7694673538208,0.034607648849487305,16,16,0,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,68.0,4.639566421508789,0.8510526315789474,0.11296084668104552
"GP+ GPClassifier (Matern, nu=0.5, ARD, LBFGS-defaults)",300,500,9500,0,9.668137073516846,0.04151272773742676,16,16,0,14,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,36.0,4.533867835998535,0.9016842105263158,0.0700183844584268
"GPyTorch Milios Dirichlet (RBF, ARD, LBFGS-defaults)",300,500,9500,0,25.373451471328735,0.02499985694885254,16,16,0,13,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,162.0,4.484136581420898,0.907157894736842,0.06641175149668416
"GP+ GPClassifier (PowerExp, p=learned, LBFGS-defaults)",300,500,9500,0,39.13769006729126,0.1717538833618164,16,16,0,6,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,69.0,4.571098327636719,0.8838947368421053,0.08401814167832507
TabPFN Classifier (v2.5 default),300,500,9500,0,1.7626051902770996,3.657550096511841,1,1,0,0,,,0.10291975165641569,0.8648421052631579,0.09361386817380148
TabPFN Classifier (v2 compatibility),300,500,9500,0,0.14531397819519043,3.1468253135681152,1,1,0,0,,,0.13657644910611097,0.8776842105263158,0.08633650634842908
"GP+ GPClassifier (RBF, ARD, LBFGS-defaults)",500,500,9500,0,12.508182287216187,0.05676531791687012,16,16,0,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,32.0,4.477105140686035,0.8821052631578947,0.08905750223184579
