model,train_size,train_pool_size,test_size,seed,train_time_s,infer_time_s,n_restarts,n_successful_restarts,n_failed_restarts,selected_restart_idx,lbfgs_stop_reason,lbfgs_iterations,final_train_nll,final_kf,accuracy,brier
"GP+ GPClassifier (RBF, ARD, LBFGS-defaults)",50,500,9500,0,5.242779016494751,0.006961822509765625,16,16,0,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,89.0,4.767233848571777,0.3263288276221853,0.7327368421052631,0.21725904547748387
"GP+ GPClassifier (Matern, nu=0.5, ARD, LBFGS-defaults)",50,500,9500,0,3.8455097675323486,0.006011962890625,16,16,0,9,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,51.0,4.856758117675781,0.3623450020593292,0.6258947368421053,0.3208155860912198
"GP+ GPClassifier (PowerExp, p=learned, LBFGS-defaults)",50,500,9500,0,6.811125755310059,0.025890827178955078,16,16,0,12,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,82.0,4.731197357177734,0.3224612396995105,0.623578947368421,0.31989200438447324
TabPFN Classifier (v2.5 default),50,500,9500,0,1.1517932415008545,2.7545406818389893,1,1,0,0,,,0.2838041060615776,,0.6617894736842105,0.20144211637360795
TabPFN Classifier (v2 compatibility),50,500,9500,0,0.10280942916870117,2.4690659046173096,1,1,0,0,,,0.33045482775941587,,0.7933684210526316,0.1518748601953363
"GP+ GPClassifier (RBF, ARD, LBFGS-defaults)",100,500,9500,0,6.2780702114105225,0.010611534118652344,16,16,0,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,94.0,4.788439750671387,0.638950910983874,0.8111578947368421,0.14878847422780966
"GP+ GPClassifier (Matern, nu=0.5, ARD, LBFGS-defaults)",100,500,9500,0,4.55835485458374,0.010309934616088867,16,16,0,1,ABNORMAL: ,73.0,4.732010364532471,0.6498739423086288,0.8466315789473684,0.11544929487981885
"GP+ GPClassifier (PowerExp, p=learned, LBFGS-defaults)",100,500,9500,0,8.119385957717896,0.04753232002258301,16,16,0,5,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,116.0,4.721407890319824,0.6366490135539085,0.8347368421052631,0.12656101653205598
TabPFN Classifier (v2.5 default),100,500,9500,0,0.13313817977905273,2.8661680221557617,1,1,0,0,,,0.1324942840106911,,0.816,0.1279820244700654
TabPFN Classifier (v2 compatibility),100,500,9500,0,0.09813070297241211,2.525625228881836,1,1,0,0,,,0.21257195040705404,,0.8191578947368421,0.12432366461277951
"GP+ GPClassifier (RBF, ARD, LBFGS-defaults)",300,500,9500,0,7.057625770568848,0.024229049682617188,16,16,0,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,68.0,4.639566421508789,0.8554527807421151,0.8510526315789474,0.11296084668104552
"GP+ GPClassifier (Matern, nu=0.5, ARD, LBFGS-defaults)",300,500,9500,0,5.433027267456055,0.03478097915649414,16,16,0,14,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,36.0,4.533867835998535,0.814411223931296,0.9016842105263158,0.0700183844584268
"GP+ GPClassifier (PowerExp, p=learned, LBFGS-defaults)",300,500,9500,0,25.63125467300415,0.12865495681762695,16,16,0,6,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,69.0,4.571098327636719,0.8425281081432356,0.8838947368421053,0.08401814167832507
TabPFN Classifier (v2.5 default),300,500,9500,0,0.13436460494995117,3.1886215209960938,1,1,0,0,,,0.10291975165641569,,0.8648421052631579,0.09361386817380148
TabPFN Classifier (v2 compatibility),300,500,9500,0,0.127518892288208,2.9032328128814697,1,1,0,0,,,0.13657644910611097,,0.8776842105263158,0.08633650634842908
"GP+ GPClassifier (RBF, ARD, LBFGS-defaults)",500,500,9500,0,7.606494665145874,0.04373812675476074,16,16,0,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,32.0,4.477105140686035,0.9063429382267506,0.8821052631578947,0.08905750223184579
