outputscale,omega,lml
-5.000000000000000000e+00,-6.000000000000000000e+00,-4.999906795909747314e+11
-4.955000000000000071e+00,-6.000000000000000000e+00,-4.999906467105813599e+11
-4.910000000000000142e+00,-6.000000000000000000e+00,-4.999906121267924805e+11
-4.865000000000000213e+00,-6.000000000000000000e+00,-4.999905733905305786e+11
-4.820000000000000284e+00,-6.000000000000000000e+00,-4.999905334272931519e+11
-4.775000000000000355e+00,-6.000000000000000000e+00,-4.999904897067666016e+11
-4.730000000000000426e+00,-6.000000000000000000e+00,-4.999904397282492065e+11
-4.684999999999999609e+00,-6.000000000000000000e+00,-4.999903874537786865e+11
-4.639999999999999680e+00,-6.000000000000000000e+00,-4.999903298181948242e+11
-4.594999999999999751e+00,-6.000000000000000000e+00,-4.999902673610169678e+11
-4.549999999999999822e+00,-6.000000000000000000e+00,-4.999901990845245361e+11
-4.504999999999999893e+00,-6.000000000000000000e+00,-4.999901187360271606e+11
-4.459999999999999964e+00,-6.000000000000000000e+00,-4.999900361349639893e+11
-4.415000000000000036e+00,-6.000000000000000000e+00,-4.999899429260470581e+11
-4.370000000000000107e+00,-6.000000000000000000e+00,-4.999898358450643311e+11
-4.325000000000000178e+00,-6.000000000000000000e+00,-4.999897265834428711e+11
-4.280000000000000249e+00,-6.000000000000000000e+00,-4.999895957220270386e+11
-4.235000000000000320e+00,-6.000000000000000000e+00,-4.999894559010081177e+11
-4.190000000000000391e+00,-6.000000000000000000e+00,-4.999893049013374023e+11
-4.144999999999999574e+00,-6.000000000000000000e+00,-4.999891348097072144e+11
-4.099999999999999645e+00,-6.000000000000000000e+00,-4.999889460431663818e+11
-4.054999999999999716e+00,-6.000000000000000000e+00,-4.999887285985037842e+11
-4.009999999999999787e+00,-6.000000000000000000e+00,-4.999884990981901245e+11
-3.964999999999999858e+00,-6.000000000000000000e+00,-4.999882404265398560e+11
-3.919999999999999929e+00,-6.000000000000000000e+00,-4.999879552775154419e+11
-3.875000000000000000e+00,-6.000000000000000000e+00,-4.999876259093637695e+11
-3.830000000000000071e+00,-6.000000000000000000e+00,-4.999872781991264648e+11
-3.785000000000000142e+00,-6.000000000000000000e+00,-4.999868947665037231e+11
-3.740000000000000213e+00,-6.000000000000000000e+00,-4.999864611944879761e+11
-3.695000000000000284e+00,-6.000000000000000000e+00,-4.999859756062604370e+11
-3.650000000000000355e+00,-6.000000000000000000e+00,-4.999854394972387695e+11
-3.604999999999999982e+00,-6.000000000000000000e+00,-4.999848469166357422e+11
-3.560000000000000053e+00,-6.000000000000000000e+00,-4.999841836349891357e+11
-3.515000000000000124e+00,-6.000000000000000000e+00,-4.999834525717008057e+11
-3.469999999999999751e+00,-6.000000000000000000e+00,-4.999826438394660034e+11
-3.424999999999999822e+00,-6.000000000000000000e+00,-4.999817988825333252e+11
-3.379999999999999893e+00,-6.000000000000000000e+00,-4.999807829494539185e+11
-3.334999999999999964e+00,-6.000000000000000000e+00,-4.999796835758875732e+11
-3.290000000000000036e+00,-6.000000000000000000e+00,-4.999784395920111084e+11
-3.245000000000000107e+00,-6.000000000000000000e+00,-4.999771163238602295e+11
-3.200000000000000178e+00,-6.000000000000000000e+00,-4.999756432800015869e+11
-3.155000000000000249e+00,-6.000000000000000000e+00,-4.999739845545640869e+11
-3.110000000000000320e+00,-6.000000000000000000e+00,-4.999721666924929810e+11
-3.065000000000000391e+00,-6.000000000000000000e+00,-4.999700765256109619e+11
-3.020000000000000018e+00,-6.000000000000000000e+00,-4.999678424665261841e+11
-2.975000000000000089e+00,-6.000000000000000000e+00,-4.999653527435937500e+11
-2.930000000000000160e+00,-6.000000000000000000e+00,-4.999625542503001099e+11
-2.885000000000000231e+00,-6.000000000000000000e+00,-4.999594651055162964e+11
-2.839999999999999858e+00,-6.000000000000000000e+00,-4.999561016303341064e+11
-2.794999999999999929e+00,-6.000000000000000000e+00,-4.999522507416666870e+11
-2.750000000000000000e+00,-6.000000000000000000e+00,-4.999480463110489502e+11
-2.705000000000000071e+00,-6.000000000000000000e+00,-4.999434390724407959e+11
-2.660000000000000142e+00,-6.000000000000000000e+00,-4.999382467030839844e+11
-2.615000000000000213e+00,-6.000000000000000000e+00,-4.999326996162510986e+11
-2.570000000000000284e+00,-6.000000000000000000e+00,-4.999263491753273315e+11
-2.524999999999999911e+00,-6.000000000000000000e+00,-4.999196287708061523e+11
-2.479999999999999982e+00,-6.000000000000000000e+00,-4.999118294527978516e+11
-2.435000000000000053e+00,-6.000000000000000000e+00,-4.999033445694385986e+11
-2.390000000000000124e+00,-6.000000000000000000e+00,-4.998938036187063599e+11
-2.345000000000000195e+00,-6.000000000000000000e+00,-4.998834643162882690e+11
-2.300000000000000266e+00,-6.000000000000000000e+00,-4.998714019968312378e+11
-2.254999999999999893e+00,-6.000000000000000000e+00,-4.998592772483187256e+11
-2.209999999999999964e+00,-6.000000000000000000e+00,-4.998448959473140869e+11
-2.165000000000000036e+00,-6.000000000000000000e+00,-4.998294544098925781e+11
-2.120000000000000107e+00,-6.000000000000000000e+00,-4.998128256439163208e+11
-2.075000000000000178e+00,-6.000000000000000000e+00,-4.997940276837839966e+11
-2.030000000000000249e+00,-6.000000000000000000e+00,-4.997725773696123047e+11
-1.985000000000000320e+00,-6.000000000000000000e+00,-4.997503551641170044e+11
-1.939999999999999947e+00,-6.000000000000000000e+00,-4.997252585561325073e+11
-1.895000000000000018e+00,-6.000000000000000000e+00,-4.996979637060354614e+11
-1.850000000000000089e+00,-6.000000000000000000e+00,-4.996668357166412964e+11
-1.805000000000000160e+00,-6.000000000000000000e+00,-4.996350268545423584e+11
-1.760000000000000231e+00,-6.000000000000000000e+00,-4.995989291438997192e+11
-1.715000000000000302e+00,-6.000000000000000000e+00,-4.995576510951946411e+11
-1.669999999999999929e+00,-6.000000000000000000e+00,-4.995169142866678467e+11
-1.625000000000000000e+00,-6.000000000000000000e+00,-4.994677237346253052e+11
-1.580000000000000071e+00,-6.000000000000000000e+00,-4.994181744851559448e+11
-1.535000000000000142e+00,-6.000000000000000000e+00,-4.993624703334544678e+11
-1.490000000000000213e+00,-6.000000000000000000e+00,-4.993023825278411255e+11
-1.445000000000000284e+00,-6.000000000000000000e+00,-4.992318965047755737e+11
-1.400000000000000355e+00,-6.000000000000000000e+00,-4.991639024815335693e+11
-1.354999999999999982e+00,-6.000000000000000000e+00,-4.990874447003709717e+11
-1.310000000000000053e+00,-6.000000000000000000e+00,-4.990048127033112183e+11
-1.265000000000000124e+00,-6.000000000000000000e+00,-4.989147146170628662e+11
-1.220000000000000195e+00,-6.000000000000000000e+00,-4.988187849990517578e+11
-1.175000000000000266e+00,-6.000000000000000000e+00,-4.987211392528619995e+11
-1.130000000000000338e+00,-6.000000000000000000e+00,-4.986182472414031372e+11
-1.084999999999999964e+00,-6.000000000000000000e+00,-4.985037618615133667e+11
-1.040000000000000036e+00,-6.000000000000000000e+00,-4.983790585049241333e+11
-9.950000000000001066e-01,-6.000000000000000000e+00,-4.982571077180019531e+11
-9.500000000000001776e-01,-6.000000000000000000e+00,-4.981298873837067261e+11
-9.050000000000002487e-01,-6.000000000000000000e+00,-4.980001124982061768e+11
-8.600000000000003197e-01,-6.000000000000000000e+00,-4.978647343791146240e+11
-8.150000000000003908e-01,-6.000000000000000000e+00,-4.977007582141305542e+11
-7.700000000000004619e-01,-6.000000000000000000e+00,-4.975683277856082153e+11
-7.250000000000005329e-01,-6.000000000000000000e+00,-4.974161955190798950e+11
-6.799999999999997158e-01,-6.000000000000000000e+00,-4.972680909617330933e+11
-6.349999999999997868e-01,-6.000000000000000000e+00,-4.970999837061668701e+11
-5.899999999999998579e-01,-6.000000000000000000e+00,-4.970001095914158936e+11
-5.449999999999999289e-01,-6.000000000000000000e+00,-4.968171496829678955e+11
-5.000000000000000000e-01,-6.000000000000000000e+00,-4.966666233111601562e+11
-4.550000000000000711e-01,-6.000000000000000000e+00,-4.965246817345566406e+11
-4.100000000000001421e-01,-6.000000000000000000e+00,-4.963769647450983276e+11
-3.650000000000002132e-01,-6.000000000000000000e+00,-4.962456596601979370e+11
-3.200000000000002842e-01,-6.000000000000000000e+00,-4.961326414663900146e+11
-2.750000000000003553e-01,-6.000000000000000000e+00,-4.959378695725206909e+11
-2.300000000000004263e-01,-6.000000000000000000e+00,-4.958418659520917969e+11
-1.850000000000004974e-01,-6.000000000000000000e+00,-4.957180683041882935e+11
-1.400000000000005684e-01,-6.000000000000000000e+00,-4.956102732333232422e+11
-9.499999999999975131e-02,-6.000000000000000000e+00,-4.954747189798500977e+11
-4.999999999999982236e-02,-6.000000000000000000e+00,-4.953747317235335083e+11
-4.999999999999893419e-03,-6.000000000000000000e+00,-4.952729343567045898e+11
4.000000000000003553e-02,-6.000000000000000000e+00,-4.951786284721669922e+11
8.499999999999996447e-02,-6.000000000000000000e+00,-4.950199643959208984e+11
1.299999999999998934e-01,-6.000000000000000000e+00,-4.949753698299010620e+11
1.749999999999998224e-01,-6.000000000000000000e+00,-4.948799893222236328e+11
2.199999999999997513e-01,-6.000000000000000000e+00,-4.948359859261305542e+11
2.649999999999996803e-01,-6.000000000000000000e+00,-4.947496235794132690e+11
3.099999999999996092e-01,-6.000000000000000000e+00,-4.946183463099412842e+11
3.549999999999995381e-01,-6.000000000000000000e+00,-4.946293607844188232e+11
3.999999999999994671e-01,-6.000000000000000000e+00,-4.947212402933151245e+11
4.449999999999993960e-01,-6.000000000000000000e+00,-4.945095460207559814e+11
4.900000000000002132e-01,-6.000000000000000000e+00,-4.943681912279910889e+11
