outputscale,omega,lml
-5.000000000000000000e+00,-6.000000000000000000e+00,-1.898404756956113281e+11
-4.955000000000000071e+00,-6.000000000000000000e+00,-1.897939232933670654e+11
-4.910000000000000142e+00,-6.000000000000000000e+00,-1.897514069812244873e+11
-4.865000000000000213e+00,-6.000000000000000000e+00,-1.897124716018704834e+11
-4.820000000000000284e+00,-6.000000000000000000e+00,-1.896767013304592285e+11
-4.775000000000000355e+00,-6.000000000000000000e+00,-1.896437152932719116e+11
-4.730000000000000426e+00,-6.000000000000000000e+00,-1.896131592783985596e+11
-4.684999999999999609e+00,-6.000000000000000000e+00,-1.895847078850323181e+11
-4.639999999999999680e+00,-6.000000000000000000e+00,-1.895580550386801453e+11
-4.594999999999999751e+00,-6.000000000000000000e+00,-1.895329161725407410e+11
-4.549999999999999822e+00,-6.000000000000000000e+00,-1.895090225312972717e+11
-4.504999999999999893e+00,-6.000000000000000000e+00,-1.894861179875376587e+11
-4.459999999999999964e+00,-6.000000000000000000e+00,-1.894639561275704346e+11
-4.415000000000000036e+00,-6.000000000000000000e+00,-1.894423011397196960e+11
-4.370000000000000107e+00,-6.000000000000000000e+00,-1.894209199672471008e+11
-4.325000000000000178e+00,-6.000000000000000000e+00,-1.893995830622161255e+11
-4.280000000000000249e+00,-6.000000000000000000e+00,-1.893780637711590576e+11
-4.235000000000000320e+00,-6.000000000000000000e+00,-1.893561318921299133e+11
-4.190000000000000391e+00,-6.000000000000000000e+00,-1.893335504811968689e+11
-4.144999999999999574e+00,-6.000000000000000000e+00,-1.893100791648771057e+11
-4.099999999999999645e+00,-6.000000000000000000e+00,-1.892854683033661804e+11
-4.054999999999999716e+00,-6.000000000000000000e+00,-1.892594510691368103e+11
-4.009999999999999787e+00,-6.000000000000000000e+00,-1.892317583825581970e+11
-3.964999999999999858e+00,-6.000000000000000000e+00,-1.892020821554696045e+11
-3.919999999999999929e+00,-6.000000000000000000e+00,-1.891701205374674683e+11
-3.875000000000000000e+00,-6.000000000000000000e+00,-1.891355228506047363e+11
-3.830000000000000071e+00,-6.000000000000000000e+00,-1.890979315597800293e+11
-3.785000000000000142e+00,-6.000000000000000000e+00,-1.890569409440202637e+11
-3.740000000000000213e+00,-6.000000000000000000e+00,-1.890121202998045349e+11
-3.695000000000000284e+00,-6.000000000000000000e+00,-1.889630037007640381e+11
-3.650000000000000355e+00,-6.000000000000000000e+00,-1.889090621275095825e+11
-3.604999999999999982e+00,-6.000000000000000000e+00,-1.888497352624966125e+11
-3.560000000000000053e+00,-6.000000000000000000e+00,-1.887843997362991028e+11
-3.515000000000000124e+00,-6.000000000000000000e+00,-1.887123766515303650e+11
-3.469999999999999751e+00,-6.000000000000000000e+00,-1.886329105009603882e+11
-3.424999999999999822e+00,-6.000000000000000000e+00,-1.885451888013018799e+11
-3.379999999999999893e+00,-6.000000000000000000e+00,-1.884482809176258545e+11
-3.334999999999999964e+00,-6.000000000000000000e+00,-1.883412297382088318e+11
-3.290000000000000036e+00,-6.000000000000000000e+00,-1.882228801702075806e+11
-3.245000000000000107e+00,-6.000000000000000000e+00,-1.880921105658586731e+11
-3.200000000000000178e+00,-6.000000000000000000e+00,-1.879475284111463928e+11
-3.155000000000000249e+00,-6.000000000000000000e+00,-1.877877192748978577e+11
-3.110000000000000320e+00,-6.000000000000000000e+00,-1.876110729878852234e+11
-3.065000000000000391e+00,-6.000000000000000000e+00,-1.874158473271410828e+11
-3.020000000000000018e+00,-6.000000000000000000e+00,-1.872001317021764526e+11
-2.975000000000000089e+00,-6.000000000000000000e+00,-1.869618058572953186e+11
-2.930000000000000160e+00,-6.000000000000000000e+00,-1.866986437297389526e+11
-2.885000000000000231e+00,-6.000000000000000000e+00,-1.864081160701784363e+11
-2.839999999999999858e+00,-6.000000000000000000e+00,-1.860875521965046997e+11
-2.794999999999999929e+00,-6.000000000000000000e+00,-1.857339657967334900e+11
-2.750000000000000000e+00,-6.000000000000000000e+00,-1.853441991928369141e+11
-2.705000000000000071e+00,-6.000000000000000000e+00,-1.849147604898036194e+11
-2.660000000000000142e+00,-6.000000000000000000e+00,-1.844420257725724182e+11
-2.615000000000000213e+00,-6.000000000000000000e+00,-1.839220105100025024e+11
-2.570000000000000284e+00,-6.000000000000000000e+00,-1.833502824754037170e+11
-2.524999999999999911e+00,-6.000000000000000000e+00,-1.827225064508316345e+11
-2.479999999999999982e+00,-6.000000000000000000e+00,-1.820336793893838196e+11
-2.435000000000000053e+00,-6.000000000000000000e+00,-1.812789480349002686e+11
-2.390000000000000124e+00,-6.000000000000000000e+00,-1.804528064647504272e+11
-2.345000000000000195e+00,-6.000000000000000000e+00,-1.795497380018443298e+11
-2.300000000000000266e+00,-6.000000000000000000e+00,-1.785643210418628845e+11
-2.254999999999999893e+00,-6.000000000000000000e+00,-1.774902805195052490e+11
-2.209999999999999964e+00,-6.000000000000000000e+00,-1.763221304800298157e+11
-2.165000000000000036e+00,-6.000000000000000000e+00,-1.750535822573053284e+11
-2.120000000000000107e+00,-6.000000000000000000e+00,-1.736793201569596558e+11
-2.075000000000000178e+00,-6.000000000000000000e+00,-1.721938233566454773e+11
-2.030000000000000249e+00,-6.000000000000000000e+00,-1.705915697616759338e+11
-1.985000000000000320e+00,-6.000000000000000000e+00,-1.688680858063942261e+11
-1.939999999999999947e+00,-6.000000000000000000e+00,-1.670194037491827393e+11
-1.895000000000000018e+00,-6.000000000000000000e+00,-1.650426842613236389e+11
-1.850000000000000089e+00,-6.000000000000000000e+00,-1.629351740122551270e+11
-1.805000000000000160e+00,-6.000000000000000000e+00,-1.606962624008206787e+11
-1.760000000000000231e+00,-6.000000000000000000e+00,-1.583269441383547974e+11
-1.715000000000000302e+00,-6.000000000000000000e+00,-1.558288207791745605e+11
-1.669999999999999929e+00,-6.000000000000000000e+00,-1.532049475025500793e+11
-1.625000000000000000e+00,-6.000000000000000000e+00,-1.504617157527648010e+11
-1.580000000000000071e+00,-6.000000000000000000e+00,-1.476064405255227051e+11
-1.535000000000000142e+00,-6.000000000000000000e+00,-1.446478124193619995e+11
-1.490000000000000213e+00,-6.000000000000000000e+00,-1.415967257683737793e+11
-1.445000000000000284e+00,-6.000000000000000000e+00,-1.384656469437012939e+11
-1.400000000000000355e+00,-6.000000000000000000e+00,-1.352706197064597321e+11
-1.354999999999999982e+00,-6.000000000000000000e+00,-1.320251245319152374e+11
-1.310000000000000053e+00,-6.000000000000000000e+00,-1.287461776309832764e+11
-1.265000000000000124e+00,-6.000000000000000000e+00,-1.254512868898869934e+11
-1.220000000000000195e+00,-6.000000000000000000e+00,-1.221597947118152313e+11
-1.175000000000000266e+00,-6.000000000000000000e+00,-1.188850208026701965e+11
-1.130000000000000338e+00,-6.000000000000000000e+00,-1.156495533294860535e+11
-1.084999999999999964e+00,-6.000000000000000000e+00,-1.124654483064472504e+11
-1.040000000000000036e+00,-6.000000000000000000e+00,-1.093510637630173798e+11
-9.950000000000001066e-01,-6.000000000000000000e+00,-1.063177868972584381e+11
-9.500000000000001776e-01,-6.000000000000000000e+00,-1.033784222798318481e+11
-9.050000000000002487e-01,-6.000000000000000000e+00,-1.005457952035988922e+11
-8.600000000000003197e-01,-6.000000000000000000e+00,-9.782635763361730957e+10
-8.150000000000003908e-01,-6.000000000000000000e+00,-9.522821728779325867e+10
-7.700000000000004619e-01,-6.000000000000000000e+00,-9.275431874925936890e+10
-7.250000000000005329e-01,-6.000000000000000000e+00,-9.041284923799884033e+10
-6.799999999999997158e-01,-6.000000000000000000e+00,-8.820118680229847717e+10
-6.349999999999997868e-01,-6.000000000000000000e+00,-8.612099685417889404e+10
-5.899999999999998579e-01,-6.000000000000000000e+00,-8.416960627052261353e+10
-5.449999999999999289e-01,-6.000000000000000000e+00,-8.235045205775982666e+10
-5.000000000000000000e-01,-6.000000000000000000e+00,-8.065257433507180786e+10
-4.550000000000000711e-01,-6.000000000000000000e+00,-7.907292192867739868e+10
-4.100000000000001421e-01,-6.000000000000000000e+00,-7.761111490516928101e+10
-3.650000000000002132e-01,-6.000000000000000000e+00,-7.625784858308636475e+10
-3.200000000000002842e-01,-6.000000000000000000e+00,-7.501027776337957764e+10
